genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
MAG02	SRS1992960.sorted.bam	SRS1992991.sorted.bam	0.7345641960598589	1247738	27027	14378	0.9884767475223164	0.9783392026210631	0.6607353919280156
MAG02	SRS1992960.sorted.bam	SRS1992995.sorted.bam	0.6664946629668317	1007091	18994	10189	0.9898827414801642	0.9811397381170123	0.5333015958415767
MAG02	SRS1992960.sorted.bam	SRS1993002.sorted.bam	0.7398605726823769	1263086	24624	6193	0.9950969292668908	0.9805048904033454	0.6688628728537477
MAG02	SRS1992960.sorted.bam	SRS1993062.sorted.bam	0.6801801765249311	1062198	19204	7643	0.9928045430324667	0.9819205082291625	0.5624833192826973
MAG02	SRS1992960.sorted.bam	SRS1993078.sorted.bam	0.6723947068722158	1010338	18019	5813	0.994246479890888	0.9821653743598677	0.5350210335901987
MAG02	SRS1992960.sorted.bam	SRS1993092.sorted.bam	0.7618056827353658	1302961	23609	4343	0.9966668227214782	0.9818805014117844	0.6899785427725365
MAG02	SRS1992960.sorted.bam	SRS1993116.sorted.bam	0.6753595328531812	1017034	16983	4536	0.9955399721149932	0.9833014432162543	0.5385668774968121
MAG02	SRS1992960.sorted.bam	SRS1993122.sorted.bam	0.7070007168842508	1155263	21753	8159	0.9929375388980691	0.9811705213444903	0.611765571846762
MAG02	SRS1992960.sorted.bam	SRS1993132.sorted.bam	0.7480110438939795	1307757	27070	5184	0.996035960809233	0.9793004357843238	0.6925182481751825
MAG02	SRS1992964.sorted.bam	SRS1992968.sorted.bam	0.6278092999699575	900657	15052	14521	0.9838773251082266	0.9832877554940449	0.4769398350356491
MAG02	SRS1992964.sorted.bam	SRS1992972.sorted.bam	0.6799060635809968	1074086	20298	14117	0.9868567321424914	0.9811020719011326	0.5687785690380469
MAG02	SRS1992964.sorted.bam	SRS1992980.sorted.bam	0.7216360679776198	1096146	20459	19001	0.9826656303083713	0.9813355155243918	0.580460366615689
MAG02	SRS1992964.sorted.bam	SRS1992991.sorted.bam	0.7603879401617868	1278285	25810	22333	0.982528935253093	0.9798088845601725	0.6769114513389056
MAG02	SRS1992964.sorted.bam	SRS1992995.sorted.bam	0.6886512041274343	1038724	19059	17527	0.9831264127910783	0.9816515262957244	0.5500527428394711
MAG02	SRS1992964.sorted.bam	SRS1993002.sorted.bam	0.7786647407604613	1308809	24840	12632	0.9903484771269147	0.9810209129063141	0.6930753311784318
MAG02	SRS1992964.sorted.bam	SRS1993062.sorted.bam	0.7054577200971716	1098234	19774	14194	0.987075614122309	0.9819947297206242	0.581566059876891
MAG02	SRS1992964.sorted.bam	SRS1993078.sorted.bam	0.6812229210066555	1027687	17852	10835	0.9894569066262393	0.9826289522004268	0.5442081372245828
MAG02	SRS1992964.sorted.bam	SRS1993092.sorted.bam	0.778149792012701	1326268	25241	10417	0.9921456296917365	0.9809684015598658	0.7023206849367297
MAG02	SRS1992964.sorted.bam	SRS1993116.sorted.bam	0.6691347312740886	1017399	17850	10088	0.9900845194461563	0.9824552609153341	0.5387601619988901
MAG02	SRS1992964.sorted.bam	SRS1993122.sorted.bam	0.7325203864401171	1184408	22183	15645	0.9867908693625845	0.9812708120850248	0.6271992069510403
MAG02	SRS1992964.sorted.bam	SRS1993132.sorted.bam	0.7672121449963887	1331676	25882	10139	0.9923862861536891	0.9805643414764552	0.7051844728469695
MAG02	SRS1992968.sorted.bam	SRS1992972.sorted.bam	0.5793477291706295	838970	15427	11493	0.9863010596326448	0.9816119765903429	0.44427369509131504
MAG02	SRS1992968.sorted.bam	SRS1992980.sorted.bam	0.7155909401493187	967033	2841	2345	0.9975750569008504	0.9970621478274267	0.5120890188984584
MAG02	SRS1992968.sorted.bam	SRS1992991.sorted.bam	0.6617686313300402	1044141	1782	517	0.9995048561449076	0.9982933339462774	0.5529212966689402
MAG02	SRS1992968.sorted.bam	SRS1992995.sorted.bam	0.6182468759663635	836341	14836	14271	0.9829363859956645	0.9822608242331776	0.4428815171297728
MAG02	SRS1992968.sorted.bam	SRS1993002.sorted.bam	0.6235045978159383	1006321	18793	9733	0.9903281358532715	0.9813250443943831	0.5328938449741794
MAG02	SRS1992968.sorted.bam	SRS1993062.sorted.bam	0.5892306642609623	846278	15385	12238	0.9855390309094647	0.9818203947166297	0.4481436215055221
MAG02	SRS1992968.sorted.bam	SRS1993078.sorted.bam	0.5982533166268643	816159	14556	9493	0.9883686879639874	0.9821652398613505	0.43219420803131525
MAG02	SRS1992968.sorted.bam	SRS1993092.sorted.bam	0.618687905931449	1009788	17346	6811	0.993255019865556	0.98282213692379	0.5347297829706292
MAG02	SRS1992968.sorted.bam	SRS1993116.sorted.bam	0.5968379214378912	814832	12971	7552	0.9907318318377285	0.9840813811926876	0.4314914997182812
MAG02	SRS1992968.sorted.bam	SRS1993122.sorted.bam	0.614674164029917	927724	17336	12080	0.9869788859617731	0.981313407866995	0.4912730723445357
MAG02	SRS1992968.sorted.bam	SRS1993132.sorted.bam	0.6299884008577654	1041908	7043	2533	0.9975688832411307	0.9932402860905185	0.551738819153488
MAG02	SRS1992972.sorted.bam	SRS1992980.sorted.bam	0.6648259325646627	1024225	20722	15012	0.9853430642681051	0.9797681173570261	0.5423748469610381
MAG02	SRS1992972.sorted.bam	SRS1992991.sorted.bam	0.7067604247781413	1205700	27111	17883	0.9851679522269221	0.9775143070415526	0.6384743127544471
MAG02	SRS1992972.sorted.bam	SRS1992995.sorted.bam	0.644024306150296	971467	18591	13036	0.9865811190704368	0.9808629629210256	0.5144370284387696
MAG02	SRS1992972.sorted.bam	SRS1993002.sorted.bam	0.7145112887084655	1222056	25799	9195	0.9924757948899232	0.9788888561571647	0.647135576633863
MAG02	SRS1992972.sorted.bam	SRS1993062.sorted.bam	0.6674348022821709	1036434	19737	10514	0.9898556010320001	0.9809568192475353	0.5488400811688999
MAG02	SRS1992972.sorted.bam	SRS1993078.sorted.bam	0.6366438576352265	957822	18042	8203	0.99143577825525	0.9811635147240302	0.5072113653405408
MAG02	SRS1992972.sorted.bam	SRS1993092.sorted.bam	0.7298030800152235	1255001	24489	6732	0.9946358608479197	0.9804868681379537	0.664581488746076
MAG02	SRS1992972.sorted.bam	SRS1993116.sorted.bam	0.6336848108555792	960808	17544	7162	0.9925458572368256	0.9817403685231597	0.5087925914315127
MAG02	SRS1992972.sorted.bam	SRS1993122.sorted.bam	0.6792923844435599	1110269	21738	10937	0.9901492341045278	0.9804209610463771	0.5879391529796527
MAG02	SRS1992972.sorted.bam	SRS1993132.sorted.bam	0.7219418545911973	1265436	26202	7211	0.9943015687873586	0.9792940931030886	0.670107307319181
MAG02	SRS1992980.sorted.bam	SRS1992991.sorted.bam	0.7970593208870762	1288097	4874	2980	0.9976865096339794	0.9962161234751731	0.6821073623920254
MAG02	SRS1992980.sorted.bam	SRS1992995.sorted.bam	0.6821411977910599	996454	19353	17858	0.9820784501843537	0.9805781300491543	0.5276688088591025
MAG02	SRS1992980.sorted.bam	SRS1993002.sorted.bam	0.748964532810797	1245816	24445	12346	0.9900900293462277	0.9803783223204711	0.6597176033992654
MAG02	SRS1992980.sorted.bam	SRS1993062.sorted.bam	0.6843593829454067	1042017	20160	15095	0.9855136720418189	0.9806529068143802	0.5517965397308209
MAG02	SRS1992980.sorted.bam	SRS1993078.sorted.bam	0.6784686036353358	990383	19490	12357	0.987523008775393	0.9803207446008262	0.5244539315656362
MAG02	SRS1992980.sorted.bam	SRS1993092.sorted.bam	0.7373909594236083	1244795	24195	9628	0.9922653930968554	0.9805630646009985	0.6591769363400282
MAG02	SRS1992980.sorted.bam	SRS1993116.sorted.bam	0.6747837107617565	987584	16987	9841	0.9900352780117945	0.9827994378199728	0.522971730685318
MAG02	SRS1992980.sorted.bam	SRS1993122.sorted.bam	0.7117075601641609	1131612	22487	15386	0.9864034669126874	0.980128347878955	0.5992412656586924
MAG02	SRS1992980.sorted.bam	SRS1993132.sorted.bam	0.7589728451729149	1290076	12308	4502	0.9965102831151033	0.9904594768060176	0.6831553350758947
MAG02	SRS1992991.sorted.bam	SRS1992995.sorted.bam	0.6840029995759528	1130796	23862	20677	0.981714650564735	0.9788980505767618	0.5988091556485675
MAG02	SRS1992991.sorted.bam	SRS1993002.sorted.bam	0.8736896253730215	1524244	33554	17536	0.9884952802832092	0.9779864641094208	0.8071581988638049
MAG02	SRS1992991.sorted.bam	SRS1993062.sorted.bam	0.7175524757920664	1213116	26473	18415	0.9848200831577524	0.9781776845742699	0.6424014301994061
MAG02	SRS1992991.sorted.bam	SRS1993078.sorted.bam	0.6845656294233324	1127852	24261	14562	0.9870887315002324	0.9784891989374492	0.5972501705139991
MAG02	SRS1992991.sorted.bam	SRS1993092.sorted.bam	0.8624332663633075	1525713	32817	12635	0.9917186259801155	0.9784907122112744	0.807936102791346
MAG02	SRS1992991.sorted.bam	SRS1993116.sorted.bam	0.6800927691360673	1126359	21758	11495	0.9897945504053326	0.9806828906236822	0.5964595574685132
MAG02	SRS1992991.sorted.bam	SRS1993122.sorted.bam	0.7774874746826373	1339344	30427	20021	0.9850516372194149	0.9772821620136425	0.7092450360303494
MAG02	SRS1992991.sorted.bam	SRS1993132.sorted.bam	0.9197272434640573	1606290	17159	4684	0.9970839636678308	0.9893176201059585	0.8506053776514397
MAG02	SRS1992995.sorted.bam	SRS1993002.sorted.bam	0.6922470873340698	1147872	23307	11598	0.9898960859747429	0.9796954712720582	0.6078516930663289
MAG02	SRS1992995.sorted.bam	SRS1993062.sorted.bam	0.654017831894004	974177	18303	13374	0.9862714886514463	0.9812118331678945	0.5158720996733757
MAG02	SRS1992995.sorted.bam	SRS1993078.sorted.bam	0.6512030163758226	929183	17160	10687	0.9884984981429923	0.9815321632014361	0.49204568080626643
MAG02	SRS1992995.sorted.bam	SRS1993092.sorted.bam	0.6943537545925123	1164342	22071	9124	0.9921638144119168	0.9810442292728425	0.6165733252559829
MAG02	SRS1992995.sorted.bam	SRS1993116.sorted.bam	0.6463918385632804	927383	16631	9248	0.9900278525700816	0.9820667404944883	0.49109249696040264
MAG02	SRS1992995.sorted.bam	SRS1993122.sorted.bam	0.6777945485242068	1058656	20165	13389	0.9873528322703503	0.98095226400266	0.5606076652926698
MAG02	SRS1992995.sorted.bam	SRS1993132.sorted.bam	0.692823633767111	1179862	23649	9419	0.9920168629890614	0.9799561304627151	0.6247918881936531
MAG02	SRS1993002.sorted.bam	SRS1993062.sorted.bam	0.7297075093646997	1236990	25442	9360	0.9924332452162103	0.9794323317084213	0.6550438252750465
MAG02	SRS1993002.sorted.bam	SRS1993078.sorted.bam	0.701250310430304	1156516	21912	6438	0.9944332806463551	0.9810534398140622	0.6124290937127993
MAG02	SRS1993002.sorted.bam	SRS1993092.sorted.bam	0.8730219008713712	1547207	31116	5983	0.9961330319730973	0.9798889224260231	0.819318177004122
MAG02	SRS1993002.sorted.bam	SRS1993116.sorted.bam	0.6825936376947761	1140502	21774	5515	0.995164410058027	0.9809084069997247	0.6039489347640976
MAG02	SRS1993002.sorted.bam	SRS1993122.sorted.bam	0.7839497974661611	1357692	27462	10194	0.9924916696864974	0.9797730265774565	0.7189611566991879
MAG02	SRS1993002.sorted.bam	SRS1993132.sorted.bam	0.8976676828020481	1595911	34448	6446	0.9959609276457145	0.9784148364163164	0.8451092136868728
MAG02	SRS1993062.sorted.bam	SRS1993078.sorted.bam	0.6863981138830285	1008014	11608	4278	0.9957560113252395	0.9884842869245863	0.5337903673358724
MAG02	SRS1993062.sorted.bam	SRS1993092.sorted.bam	0.7304787407429223	1251883	24560	7568	0.9939547066299327	0.980381553228217	0.6629303625064075
MAG02	SRS1993062.sorted.bam	SRS1993116.sorted.bam	0.6520991445317899	977029	17514	7312	0.9925160870352876	0.9820742270700256	0.5173823665224888
MAG02	SRS1993062.sorted.bam	SRS1993122.sorted.bam	0.6952954985206189	1123990	19669	9978	0.9911226968211461	0.9825007339922953	0.5952050616180402
MAG02	SRS1993062.sorted.bam	SRS1993132.sorted.bam	0.7287723178028819	1265596	26870	7768	0.9938621803482312	0.9787688962354495	0.6701920347721467
MAG02	SRS1993078.sorted.bam	SRS1993092.sorted.bam	0.6991586463949644	1166261	21805	4993	0.99571879707887	0.9813034989594953	0.6175895251449899
MAG02	SRS1993078.sorted.bam	SRS1993116.sorted.bam	0.6515069687614637	932055	16277	5748	0.9938329819592191	0.9825364383003149	0.4935665385870003
MAG02	SRS1993078.sorted.bam	SRS1993122.sorted.bam	0.6852673141793656	1065574	19630	7952	0.9925373554534926	0.9815780039678146	0.5642710685402731
MAG02	SRS1993078.sorted.bam	SRS1993132.sorted.bam	0.6904945646057169	1174514	24013	5309	0.9954798325094465	0.9795549478337423	0.6219598730782755
MAG02	SRS1993092.sorted.bam	SRS1993116.sorted.bam	0.6959492298218047	1171195	15746	2343	0.9979994791644432	0.986555612003125	0.6202023079758188
MAG02	SRS1993092.sorted.bam	SRS1993122.sorted.bam	0.7925211353461513	1383560	25898	7142	0.994837954262916	0.9812816213246986	0.732659467657413
MAG02	SRS1993092.sorted.bam	SRS1993132.sorted.bam	0.8955986850011184	1609708	34065	4729	0.9970622001008879	0.9788377767893307	0.8524153678654189
MAG02	SRS1993116.sorted.bam	SRS1993122.sorted.bam	0.6799555756974142	1067259	18391	7051	0.9933933562518564	0.982768006641312	0.5651633545293178
MAG02	SRS1993116.sorted.bam	SRS1993132.sorted.bam	0.6855478565423522	1175635	22242	4282	0.9963577130657049	0.9810808626827204	0.6225534947956162
MAG02	SRS1993122.sorted.bam	SRS1993132.sorted.bam	0.7950528191160691	1405787	29613	8091	0.9942445050352579	0.9789349311097627	0.7444296995140881
MAG03	SRS1992958.sorted.bam	SRS1992960.sorted.bam	0.8989234663016146	1917739	35118	32859	0.9828657601477573	0.9816878104893314	0.891447539678998
MAG03	SRS1992958.sorted.bam	SRS1992962.sorted.bam	0.6850374220717694	1428419	21813	16178	0.9886741915362369	0.9847292706131744	0.663990565546581
MAG03	SRS1992958.sorted.bam	SRS1992964.sorted.bam	0.9197907701785698	1967242	41774	25274	0.9871525719764015	0.9787651951310515	0.9144586624421736
MAG03	SRS1992958.sorted.bam	SRS1992966.sorted.bam	0.8445862555363316	1792686	29421	14746	0.9917743542371614	0.9835883138486048	0.8333175286715159
MAG03	SRS1992958.sorted.bam	SRS1992970.sorted.bam	0.8799511711819282	1872075	37556	34998	0.9813052361684227	0.9799388379204893	0.8702209491722076
MAG03	SRS1992958.sorted.bam	SRS1992972.sorted.bam	0.8729459483018817	1853663	35662	33564	0.9818931488625494	0.9807613357983624	0.8616622599550776
MAG03	SRS1992958.sorted.bam	SRS1992974.sorted.bam	0.8840402399756685	1879527	36115	33531	0.9821598732021407	0.9807850592196866	0.8736849591681913
MAG03	SRS1992958.sorted.bam	SRS1992976.sorted.bam	0.9300189480381008	1994325	28733	13346	0.9933080114825819	0.985592619056573	0.9270480052657415
MAG03	SRS1992958.sorted.bam	SRS1992978.sorted.bam	0.738861492975083	1547466	23737	14286	0.9907681331932333	0.9846607292179602	0.7193287295283145
MAG03	SRS1992958.sorted.bam	SRS1992980.sorted.bam	0.9108474110472029	1951003	38566	36066	0.9815141237609578	0.9802327315744773	0.9069100770523748
MAG03	SRS1992958.sorted.bam	SRS1992988.sorted.bam	0.8847768173379746	1888758	33152	19519	0.9896656956582051	0.9824477249070553	0.8779759248516221
MAG03	SRS1992958.sorted.bam	SRS1992990.sorted.bam	0.9077160900672788	1944572	38794	22845	0.9882519135316152	0.9800501087128685	0.9039206717539084
MAG03	SRS1992958.sorted.bam	SRS1992991.sorted.bam	0.9093202448251904	1942052	37552	32239	0.983399517623627	0.980663751537034	0.9027492674074404
MAG03	SRS1992958.sorted.bam	SRS1992992.sorted.bam	0.8893773050082149	1898629	34729	33001	0.9826185105146924	0.981708380099535	0.8825643900516161
MAG03	SRS1992958.sorted.bam	SRS1992993.sorted.bam	0.8989546243803933	1920421	31247	25271	0.9868409062387883	0.9837290885696418	0.8926942485905961
MAG03	SRS1992958.sorted.bam	SRS1992995.sorted.bam	0.8898939033873238	1897185	34842	22220	0.9882879107730664	0.9816348959115743	0.8818931567673702
MAG03	SRS1992958.sorted.bam	SRS1992998.sorted.bam	0.8814465909734751	1883873	36207	34619	0.9816234958513658	0.9807805515552269	0.8757051668228539
MAG03	SRS1992958.sorted.bam	SRS1992999.sorted.bam	0.8929677795914197	1902223	33762	24994	0.9868606362135249	0.982251292303794	0.8842350357743168
MAG03	SRS1992958.sorted.bam	SRS1993001.sorted.bam	0.8648826006624277	1843758	31457	29937	0.9837630535026831	0.9829386503000936	0.8570579900932661
MAG03	SRS1992958.sorted.bam	SRS1993002.sorted.bam	0.9468330023557622	2030906	31836	16652	0.9918007037253325	0.9843242375570312	0.9440524268523064
MAG03	SRS1992958.sorted.bam	SRS1993058.sorted.bam	0.9201238580747092	1970256	50041	25551	0.9870316344678052	0.9746017776370177	0.9158596992279887
MAG03	SRS1992958.sorted.bam	SRS1993062.sorted.bam	0.9219046911722513	1970970	38351	21791	0.9889440224863899	0.9805420681187436	0.9161915971261547
MAG03	SRS1992958.sorted.bam	SRS1993066.sorted.bam	0.8545576515831179	1818400	33090	29015	0.9840436647602288	0.9818026836779586	0.8452705014354351
MAG03	SRS1992958.sorted.bam	SRS1993078.sorted.bam	0.927379229902768	1989180	37118	18661	0.9906187474235615	0.9813400496687077	0.9246563880583694
MAG03	SRS1992958.sorted.bam	SRS1993092.sorted.bam	0.9023110400484509	1923055	36081	34053	0.9822922381315147	0.9812376661093937	0.8939186450384519
MAG03	SRS1992958.sorted.bam	SRS1993106.sorted.bam	0.917554672908113	1965157	35561	20961	0.9893336766477182	0.9819042448007971	0.9134894647983697
MAG03	SRS1992958.sorted.bam	SRS1993108.sorted.bam	0.9042558527545382	1939762	35324	26094	0.9865478342188372	0.9817895185079407	0.9016847769497375
MAG03	SRS1992958.sorted.bam	SRS1993116.sorted.bam	0.9423133126071569	2022090	39930	20561	0.9898318076841288	0.9802531044612257	0.9399543710116471
MAG03	SRS1992958.sorted.bam	SRS1993122.sorted.bam	0.9464066930570764	2032316	41229	17822	0.9912306944392506	0.9797132926178803	0.9447078554747349
MAG03	SRS1992958.sorted.bam	SRS1993132.sorted.bam	0.9361849986784613	2009208	36891	16446	0.9918146851893881	0.9816390338879798	0.9339662635548217
MAG03	SRS1992958.sorted.bam	SRS1993134.sorted.bam	0.5181824390550966	1082383	60812	43859	0.9594792231585307	0.9438165603118305	0.5031381550567481
MAG03	SRS1992958.sorted.bam	SRS1993140.sorted.bam	0.8196856397708864	1741640	31622	17349	0.9900386991571163	0.9818435497576996	0.8095891531676261
MAG03	SRS1992958.sorted.bam	SRS1993148.sorted.bam	0.660851105730572	1369325	23336	14689	0.9892728168988371	0.982958026765012	0.6365211336219079
MAG03	SRS1992958.sorted.bam	SRS1993150.sorted.bam	0.9227589755478353	1978946	40938	22364	0.9886990347386942	0.9793132303761699	0.9198991848513246
MAG03	SRS1992958.sorted.bam	SRS1993172.sorted.bam	0.9441098560569615	2025586	41171	12808	0.9936768915266989	0.9796745238168115	0.9415794621208741
MAG03	SRS1992960.sorted.bam	SRS1992962.sorted.bam	0.7288106452477783	1391093	21859	15886	0.9885802027614258	0.9842864567645729	0.6466398359290166
MAG03	SRS1992960.sorted.bam	SRS1992964.sorted.bam	0.9200637176599047	1854838	39597	23023	0.987587595250906	0.9786520440059995	0.8622084504737679
MAG03	SRS1992960.sorted.bam	SRS1992966.sorted.bam	0.870507924615386	1716803	29865	14050	0.9918161839185975	0.9826042941444068	0.7980438477099975
MAG03	SRS1992960.sorted.bam	SRS1992970.sorted.bam	0.9229117524802839	1813676	33509	30631	0.9831110959179038	0.9815242634296313	0.8430745831288025
MAG03	SRS1992960.sorted.bam	SRS1992972.sorted.bam	0.9173635956466226	1798330	32472	29852	0.9834001545878677	0.9819432473461489	0.8359411025332084
MAG03	SRS1992960.sorted.bam	SRS1992974.sorted.bam	0.9308167961429998	1823910	33305	30281	0.9833977553717015	0.9817397788268062	0.8478317863358472
MAG03	SRS1992960.sorted.bam	SRS1992976.sorted.bam	0.9394532903632159	1892632	31033	12574	0.9933563418562087	0.9836032572629017	0.8797767266128192
MAG03	SRS1992960.sorted.bam	SRS1992978.sorted.bam	0.7878814608314414	1512872	24196	13914	0.9908029231818687	0.9840065782167956	0.7032479509720797
MAG03	SRS1992960.sorted.bam	SRS1992980.sorted.bam	0.9429564368926222	1875876	33830	31136	0.9834018879712731	0.9819657589307609	0.8719878173947967
MAG03	SRS1992960.sorted.bam	SRS1992988.sorted.bam	0.9222446436447805	1822848	32254	17889	0.9901862360438172	0.9823057106242539	0.84733812307555
MAG03	SRS1992960.sorted.bam	SRS1992990.sorted.bam	0.9348912332006293	1862932	34061	19087	0.989754322755742	0.9817164555657426	0.8659708896723043
MAG03	SRS1992960.sorted.bam	SRS1992991.sorted.bam	0.9409907885236706	1868200	32338	27011	0.9855416978910181	0.9826902901188309	0.8684196825680158
MAG03	SRS1992960.sorted.bam	SRS1992992.sorted.bam	0.9325628206757348	1836281	31020	29072	0.9841680004313066	0.9831071606143068	0.8535823590224166
MAG03	SRS1992960.sorted.bam	SRS1992993.sorted.bam	0.9076943499072081	1820145	33908	27484	0.9849001041125844	0.9813707149705105	0.8460816524610647
MAG03	SRS1992960.sorted.bam	SRS1992995.sorted.bam	0.9278452491868652	1831584	31434	18320	0.9899977287418977	0.9828378059646732	0.8513989914766389
MAG03	SRS1992960.sorted.bam	SRS1992998.sorted.bam	0.9267185328636887	1825892	31177	29238	0.983987004707836	0.9829250579990493	0.8487531051512042
MAG03	SRS1992960.sorted.bam	SRS1992999.sorted.bam	0.9185165274181564	1825498	29827	21438	0.9882563552521011	0.9836608969168961	0.8485699570113199
MAG03	SRS1992960.sorted.bam	SRS1993001.sorted.bam	0.8961013856949892	1772701	28969	27011	0.984762799817905	0.9836582706277032	0.8240276414238327
MAG03	SRS1992960.sorted.bam	SRS1993002.sorted.bam	0.9206860088771404	1885203	28629	12161	0.9935492358117402	0.9848138370244478	0.876323408005712
MAG03	SRS1992960.sorted.bam	SRS1993058.sorted.bam	0.927896609490133	1865874	46663	22308	0.9880442087729396	0.974991344538806	0.8673384577625062
MAG03	SRS1992960.sorted.bam	SRS1993062.sorted.bam	0.9501194544489734	1891698	33357	16934	0.9910482540024887	0.9823666356892062	0.8793425632558347
MAG03	SRS1992960.sorted.bam	SRS1993066.sorted.bam	0.9011000437615958	1766391	32443	26527	0.9849823736647209	0.9816331718175647	0.8210944821277165
MAG03	SRS1992960.sorted.bam	SRS1993078.sorted.bam	0.9300874243231038	1878507	33238	16390	0.9912749859329776	0.9823061612227157	0.8732108193136686
MAG03	SRS1992960.sorted.bam	SRS1993092.sorted.bam	0.9376858802861576	1855804	31739	29224	0.9842526473700887	0.9828974396003026	0.8626574888065807
MAG03	SRS1992960.sorted.bam	SRS1993106.sorted.bam	0.922888032827445	1857049	32997	16514	0.9911073967353581	0.9822314866220546	0.8632362183348952
MAG03	SRS1992960.sorted.bam	SRS1993108.sorted.bam	0.9105087997593485	1832495	33239	24434	0.986666266483674	0.9818613420500465	0.8518224634447469
MAG03	SRS1992960.sorted.bam	SRS1993116.sorted.bam	0.9270900860251688	1889928	35662	17411	0.9907874797346777	0.9811304980930491	0.8785197911553394
MAG03	SRS1992960.sorted.bam	SRS1993122.sorted.bam	0.9378948094172017	1907434	39552	15614	0.9918141335427595	0.9792642890920472	0.8866573326193345
MAG03	SRS1992960.sorted.bam	SRS1993132.sorted.bam	0.9285925447922307	1886984	31645	12063	0.9936072589910673	0.9832298525053736	0.8771512933791482
MAG03	SRS1992960.sorted.bam	SRS1993134.sorted.bam	0.5033958589388328	987997	58892	42125	0.9573632308600127	0.9403925315562699	0.4592634841655882
MAG03	SRS1992960.sorted.bam	SRS1993140.sorted.bam	0.8603125527135814	1684609	30742	16001	0.9905016534994173	0.9817512550390031	0.7830786923408749
MAG03	SRS1992960.sorted.bam	SRS1993148.sorted.bam	0.6958353478014931	1320978	24587	15574	0.9882102502842591	0.9813872751855065	0.6140473693605248
MAG03	SRS1992960.sorted.bam	SRS1993150.sorted.bam	0.934588026804432	1877598	39090	20683	0.9889843299790477	0.9791808470183714	0.8727882770315498
MAG03	SRS1992960.sorted.bam	SRS1993172.sorted.bam	0.9329230984259191	1898475	39348	9411	0.9950428633508474	0.979273890886106	0.8824928042304431
MAG03	SRS1992962.sorted.bam	SRS1992964.sorted.bam	0.7231347263488332	1406721	26107	10755	0.9923545607124654	0.9814412381701845	0.6539044022490963
MAG03	SRS1992962.sorted.bam	SRS1992966.sorted.bam	0.7305611842265316	1342885	20116	5738	0.9957271099163368	0.9850203107488728	0.6242306848438871
