genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992962_SemiBin_05	99.66	96.95	0.43	99.66	Neural Network (Specific Model)	11	0.878	48997	312.7442663378545	4326044	0.51	4055		97.50999999999999	SRS1992962	5640	4320404	4326044	48997	744	180	10.799514350728671
SRS1992962_SemiBin_07	75.28	74.28	3.03	75.28	Neural Network (Specific Model)	11	0.859	15155	293.78367617783675	1541665	0.56	1507		60.13	SRS1992962	6027	1535745	1541665	15155	763	171	9.626085789491905
SRS1992962_SemiBin_12	93.4	92.86	1.71	93.4	Neural Network (Specific Model)	11	0.883	56157	351.583552055993	2726798	0.49	2286	 Singleton species	84.85000000000001	SRS1992962	1110	2725688	2726798	56157	212	101	10.935906618469438
SRS1992962_SemiBin_19	59.02	71.69	1.28	59.02	Neural Network (Specific Model)	11	0.874	6655	249.9766741911212	1135772	0.4	1329		52.620000000000005	SRS1992962	5621	1130302	1135772	6655	754	207	8.803123730829212
SRS1992962_SemiBin_21	81.96	91.3	1.06	81.96	Neural Network (Specific Model)	11	0.857	21602	285.9496043315285	2397221	0.59	2401		76.66	SRS1992962	3648	2393671	2397221	21602	541	186	9.98054118197842
SRS1992962_SemiBin_31	96.05	89.81	0.85	96.05	Neural Network (Specific Model)	11	0.909	51041	311.69820971867006	2408126	0.3	2346	 Singleton species	91.8	SRS1992962	3013	2405136	2408126	51041	397	98	10.840384510303233
SRS1992964_SemiBin_03	69.17	72.72	0.91	69.17	Neural Network (Specific Model)	11	0.855	16446	272.8548644338118	3592480	0.55	3762	 Singleton species	64.62	SRS1992964	6830	3585770	3592480	16446	997	326	9.70783756553084
SRS1992964_SemiBin_05	99.19	96.64	0.02	99.19	Neural Network (Specific Model)	11	0.882	86901	317.2796886768768	4290741	0.51	3983		99.09	SRS1992964	1010	4289731	4290741	86901	181	80	11.372524818667134
SRS1992964_SemiBin_06	66.97	65.04	0.18	66.97	Neural Network (Specific Model)	11	0.891	15751	334.18335089567967	2130234	0.45	1898	 Singleton species	66.07	SRS1992964	5615	2124734	2130234	15751	774	224	9.664659134301736
SRS1992964_SemiBin_07	62.52	61.66	2.36	62.52	Neural Network (Specific Model)	11	0.879	9414	341.9857064321056	2121368	0.46	1819		50.720000000000006	SRS1992964	3720	2117648	2121368	9414	669	297	9.149953221961088
SRS1992966_SemiBin_02	85.39	96.25	0.26	85.39	Neural Network (Specific Model)	11	0.91	9960	312.1718088324259	1698459	0.32	1653		84.09	SRS1992966	1479	1697039	1698459	9960	363	221	9.206332350578643
SRS1992966_SemiBin_09	86.14	90.07	0.13	86.14	Neural Network (Specific Model)	11	0.874	13459	279.4226289517471	1725681	0.4	1803		85.49	SRS1992966	4961	1720771	1725681	13459	675	184	9.507403306233716
SRS1992966_SemiBin_10	78.26	90.32	0.0	78.26	Neural Network (Specific Model)	11	0.827	17286	291.8448664306405	3284031	0.51	3107		78.26	SRS1992966	33710	3250321	3284031	17286	3647	276	9.757652204312585
SRS1992968_SemiBin_1	99.8	99.18	0.06	99.8	Neural Network (Specific Model)	11	0.888	132839	319.73116234846685	4537286	0.51	4207		99.5	SRS1992968	1000	4536286	4537286	132839	153	53	11.796893147609293
SRS1992968_SemiBin_3	82.92	88.83	0.51	82.92	Neural Network (Specific Model)	11	0.884	10720	291.3739230327398	1719436	0.33	1741		80.37	SRS1992968	18436	1701486	1719436	10720	2021	226	9.279866434624791
SRS1992968_SemiBin_5	99.75	95.51	0.63	99.75	Neural Network (Specific Model)	11	0.857	26244	298.1230012300123	2541535	0.38	2439		96.6	SRS1992968	1497	2540045	2541535	26244	312	163	10.175192670464767
SRS1992970_SemiBin_2	100.0	100.0	0.12	100.0	Neural Network (Specific Model)	11	0.885	218584	315.159902200489	2181575	0.4	2045		99.4	SRS1992970	320	2181255	2181575	218584	54	22	12.294925658999173
SRS1992970_SemiBin_4	88.75	87.47	1.37	88.75	Neural Network (Specific Model)	11	0.869	20403	279.947219413549	4763305	0.57	4945		81.9	SRS1992970	11346	4752215	4763305	20403	1463	354	9.923437227843747
SRS1992970_SemiBin_6	88.86	96.69	0.06	88.86	Neural Network (Specific Model)	11	0.881	54395	313.0662983425414	4044206	0.51	3801		88.56	SRS1992970	1900	4042306	4044206	54395	335	145	10.904027516855184
SRS1992972_SemiBin_02	98.75	97.28	0.21	98.75	Neural Network (Specific Model)	11	0.878	202351	316.0523560209424	2266091	0.39	2101		97.7	SRS1992972	530	2265561	2266091	202351	86	33	12.217759092224096
SRS1992972_SemiBin_03	99.34	100.0	1.12	99.34	Neural Network (Specific Model)	11	0.885	68362	314.88321924911844	5139565	0.58	4821		93.74000000000001	SRS1992972	1910	5137655	5139565	68362	340	149	11.132572393676918
SRS1992972_SemiBin_04	86.49	82.62	0.64	86.49	Neural Network (Specific Model)	11	0.857	38505	296.7157249233465	2368294	0.38	2283		83.28999999999999	SRS1992972	200	2368094	2368294	38505	126	106	10.558543381973353
SRS1992972_SemiBin_06	98.01	100.0	0.33	98.01	Neural Network (Specific Model)	11	0.88	39309	313.54675890340764	4165025	0.51	3903		96.36	SRS1992972	1474	4163555	4165025	39309	323	176	10.579208779272696
SRS1992972_SemiBin_09	99.85	97.87	1.85	99.85	Neural Network (Specific Model)	11	0.861	45146	326.49375600384246	2364991	0.6	2082		90.6	SRS1992972	3747	2361261	2364991	45146	467	94	10.717656961343524
SRS1992974_SemiBin_1	99.97	97.98	0.0	99.97	Neural Network (Specific Model)	11	0.885	140953	312.1681660899654	4577442	0.51	4335		99.97	SRS1992974	400	4577042	4577442	140953	103	63	11.856181780459067
SRS1992974_SemiBin_3	91.39	96.6	0.29	91.39	Neural Network (Specific Model)	11	0.835	42720	291.49867794817555	1975294	0.44	1891		89.94	SRS1992974	3496	1971854	1975294	42720	417	73	10.662422473634075
SRS1992974_SemiBin_7	86.79	83.55	3.15	86.79	Neural Network (Specific Model)	11	0.897	34513	304.8310810810811	1657248	0.41	1628	 Singleton species	71.04	SRS1992974	1380	1655908	1657248	34513	221	87	10.449091343637994
SRS1992976_SemiBin_3	99.99	97.68	0.13	99.99	Neural Network (Specific Model)	11	0.887	112926	319.467987804878	4956364	0.58	4592		99.33999999999999	SRS1992976	280	4956084	4956364	112926	110	82	11.63448801591862
SRS1992976_SemiBin_4	86.37	91.77	0.07	86.37	Neural Network (Specific Model)	11	0.854	17020	292.2628571428571	1793562	0.4	1750		86.02000000000001	SRS1992976	9410	1784152	1793562	17020	1123	182	9.742144402127366
SRS1992976_SemiBin_6	85.4	96.19	0.01	85.4	Neural Network (Specific Model)	11	0.888	92994	317.0976004313831	3966182	0.51	3709		85.35000000000001	SRS1992976	30	3966152	3966182	92994	78	75	11.440290253925106
SRS1992978_SemiBin_2	94.29	100.0	1.11	94.29	Neural Network (Specific Model)	11	0.892	66016	312.89516824849005	4867610	0.55	4636		88.74000000000001	SRS1992978	430	4867180	4867610	66016	170	127	11.09765241587098
SRS1992978_SemiBin_4	68.27	76.68	0.07	68.27	Neural Network (Specific Model)	11	0.874	10555	257.10329244673983	1362213	0.4	1549		67.92	SRS1992978	8431	1354053	1362213	10555	1025	209	9.264354960282422
SRS1992978_SemiBin_8	97.94	98.47	1.03	97.94	Neural Network (Specific Model)	11	0.886	77266	313.2536216670166	5045468	0.58	4763		92.78999999999999	SRS1992978	836	5044638	5045468	77266	199	116	11.25500929305476
SRS1992980_SemiBin_4	91.49	93.05	0.56	91.49	Neural Network (Specific Model)	11	0.883	21049	299.4626532887402	1821892	0.42	1794		88.69	SRS1992980	4132	1817862	1821892	21049	532	129	9.954608332043842
SRS1992980_SemiBin_5	77.88	80.39	1.94	77.88	Neural Network (Specific Model)	11	0.817	12089	277.8921623123958	1831013	0.59	1799	 Singleton species	68.17999999999999	SRS1992980	9728	1821593	1831013	12089	1166	224	9.400051227201992
SRS1992980_SemiBin_7	100.0	100.0	0.32	100.0	Neural Network (Specific Model)	11	0.885	104398	315.9198819312671	5073833	0.5	4743		98.4	SRS1992980	568	5073273	5073833	104398	155	99	11.555965797159054
SRS1992988_SemiBin_06	95.13	100.0	0.02	95.13	Neural Network (Specific Model)	11	0.888	104602	316.4038049940547	4486015	0.51	4205		95.03	SRS1992988	110	4485905	4486015	104602	81	70	11.557917950889056
SRS1992988_SemiBin_13	94.73	92.42	0.08	94.73	Neural Network (Specific Model)	11	0.888	39326	316.8693630869363	4595637	0.58	4302		94.33	SRS1992988	2010	4593627	4595637	39326	412	211	10.579641156719502
SRS1992988_SemiBin_15	99.1	96.6	0.01	99.1	Neural Network (Specific Model)	11	0.879	43306	313.10114107883817	2055845	0.4	1928		99.05	SRS1992988	1322	2054555	2055845	43306	213	84	10.676046472520236
SRS1992990_SemiBin_1	99.93	98.0	0.83	99.93	Neural Network (Specific Model)	11	0.869	67855	326.9766940008632	2609959	0.6	2317		95.78	SRS1992990	260	2609699	2609959	67855	92	66	11.125128354515471
SRS1992990_SemiBin_2	99.98	99.11	2.39	99.98	Neural Network (Specific Model)	11	0.883	74687	315.8589870903674	2158624	0.4	2014		88.03	SRS1992990	410	2158214	2158624	74687	79	38	11.22106132652489
SRS1992991_SemiBin_01	95.0	98.1	0.79	95.0	Neural Network (Specific Model)	11	0.891	43194	308.0178421494542	4931013	0.55	4764		91.05	SRS1992991	1486	4929553	4931013	43194	363	217	10.673456875697358
SRS1992991_SemiBin_04	100.0	100.0	1.09	100.0	Neural Network (Specific Model)	11	0.835	88181	300.8027545499262	2194872	0.44	2033		94.55	SRS1992991	1510	2193362	2194872	88181	194	43	11.387146799287637
SRS1992991_SemiBin_06	99.87	98.88	0.29	99.87	Neural Network (Specific Model)	11	0.882	194204	315.9873883342092	2042785	0.4	1903		98.42	SRS1992991	400	2042385	2042785	194204	53	13	12.176664431949588
SRS1992991_SemiBin_12	100.0	98.71	0.03	100.0	Neural Network (Specific Model)	11	0.887	124809	315.68788720358896	4987839	0.5	4681		99.85	SRS1992991	281	4987559	4987839	124809	105	77	11.73453984770189
SRS1992992_SemiBin_4	100.0	100.0	0.38	100.0	Neural Network (Specific Model)	11	0.882	357086	318.68815592203896	2164502	0.4	2001		98.1	SRS1992992	420	2164082	2164502	357086	57	15	12.78573192810945
SRS1992992_SemiBin_5	88.19	84.95	1.88	88.19	Neural Network (Specific Model)	11	0.882	19409	299.32282775224337	4640295	0.58	4569		78.78999999999999	SRS1992992	4162	4636205	4640295	19409	783	374	9.873492155000728
SRS1992992_SemiBin_8	94.17	100.0	1.38	94.17	Neural Network (Specific Model)	11	0.891	23752	305.2623337623337	4782595	0.55	4662		87.27	SRS1992992	4928	4777675	4782595	23752	812	320	10.075422016443596
SRS1992993_SemiBin_1	99.98	98.06	0.08	99.98	Neural Network (Specific Model)	11	0.878	198713	317.104674796748	2129821	0.4	1968		99.58	SRS1992993	610	2129211	2129821	198713	80	19	12.199616851663986
SRS1992994_SemiBin_1	88.81	92.49	0.06	88.81	Neural Network (Specific Model)	11	0.876	122330	306.36015996001	4191404	0.51	4001		88.51	SRS1992994	700	4190704	4191404	122330	116	46	11.714477590040962
SRS1992995_SemiBin_01	99.98	100.0	0.69	99.98	Neural Network (Specific Model)	11	0.885	70345	315.9908860759494	2112507	0.4	1975		96.53	SRS1992995	1260	2111247	2112507	70345	184	58	11.161166986811311
SRS1992995_SemiBin_02	63.96	69.03	0.92	63.96	Gradient Boost (General Model)	11	0.82	7847	266.3522245762712	1835236	0.66	1888	Completeness was re-calibrated based on Completeness model used in all genomes of the species.	59.36	SRS1992995	4302	1831026	1835236	7847	713	292	8.967886572127473
SRS1992995_SemiBin_03	55.33	47.79	0.9	55.33	Neural Network (Specific Model)	11	0.848	9280	255.59743384121893	2246465	0.41	2494		50.83	SRS1992995	13057	2233745	2246465	9280	1615	343	9.135616825780248
SRS1992995_SemiBin_08	80.54	74.78	2.17	80.54	Neural Network (Specific Model)	11	0.873	11937	317.29149159663865	2073913	0.6	1904		69.69000000000001	SRS1992995	3630	2070283	2073913	11937	628	265	9.38739809909504
SRS1992995_SemiBin_10	99.83	100.0	0.02	99.83	Neural Network (Specific Model)	11	0.894	137331	305.9698981850376	2314016	0.46	2259		99.73	SRS1992995	120	2313896	2314016	137331	37	25	11.830149349227955
SRS1992995_SemiBin_12	72.97	58.91	1.15	72.97	Neural Network (Specific Model)	11	0.868	26172	326.83729216152017	1899200	0.56	1684		67.22	SRS1992995	500	1898700	1899200	26172	177	127	10.17244541598963
SRS1992995_SemiBin_13	95.1	93.36	2.11	95.1	Neural Network (Specific Model)	11	0.861	50405	324.60802187784867	2475670	0.62	2194		84.55	SRS1992995	250	2475420	2475670	50405	129	104	10.827845655488042
SRS1992995_SemiBin_15	94.44	94.44	2.33	90.9	Gradient Boost (General Model)	11	0.843	24131	314.97216796875	2290843	0.65	2048	 Singleton species	82.78999999999999	SRS1992995	2005	2288863	2290843	24131	358	160	10.091252599948522
SRS1992995_SemiBin_18	99.1	98.38	0.49	99.1	Neural Network (Specific Model)	11	0.878	62259	315.86951002792586	4244374	0.51	3939		96.64999999999999	SRS1992995	7625	4236754	4244374	62259	891	129	11.03905838218977
SRS1992995_SemiBin_20	95.54	96.9	2.01	95.54	Neural Network (Specific Model)	11	0.885	42883	298.01672500972387	2590093	0.42	2571	 Singleton species	85.49000000000001	SRS1992995	6427	2583823	2590093	42883	727	100	10.666230755983976
SRS1992995_SemiBin_21	99.61	98.08	0.65	99.61	Neural Network (Specific Model)	11	0.864	59886	328.4847013113162	2346417	0.6	2059		96.36	SRS1992995	1134	2345287	2346417	59886	177	64	11.00019803391464
SRS1992995_SemiBin_26	100.0	100.0	0.16	86.53	Gradient Boost (General Model)	11	0.864	9042	294.7824513794663	2259304	0.28	2211	 Singleton species	99.2	SRS1992995	8767	2250774	2259304	9042	1172	319	9.109635667854551
SRS1992995_SemiBin_27	99.77	99.36	0.39	99.77	Neural Network (Specific Model)	11	0.862	59010	300.48725113517287	2989341	0.58	2863		97.82	SRS1992995	490	2988851	2989341	59010	128	79	10.985462200051217
SRS1992995_SemiBin_28	73.47	75.69	1.02	73.47	Neural Network (Specific Model)	11	0.874	12229	316.5173463177115	1781316	0.59	1643		68.37	SRS1992995	2424	1778896	1781316	12229	446	204	9.41156545918937
SRS1992995_SemiBin_33	73.51	74.97	1.45	73.51	Neural Network (Specific Model)	11	0.87	10440	295.0	2127243	0.37	2096	 Singleton species	66.26	SRS1992995	10119	2117483	2127243	10440	1250	274	9.25339986143663
SRS1992998_SemiBin_04	73.22	63.34	3.91	73.22	Neural Network (Specific Model)	11	0.872	12049	299.5250501002004	2051097	0.58	1996		53.67	SRS1992998	3030	2048067	2051097	12049	544	241	9.396736947923277
SRS1992998_SemiBin_05	99.97	100.0	2.11	99.97	Neural Network (Specific Model)	11	0.868	57349	349.5711743772242	2034713	0.56	1686		89.42	SRS1992998	1620	2033093	2034713	57349	231	69	10.956910685613863
SRS1992998_SemiBin_08	99.95	99.74	0.2	99.95	Neural Network (Specific Model)	11	0.885	160772	314.80804480651733	2091396	0.4	1964		98.95	SRS1992998	130	2091266	2091396	160772	34	21	11.987742491211494
SRS1992998_SemiBin_11	94.71	89.22	0.36	94.71	Neural Network (Specific Model)	11	0.884	41457	357.9457472873644	3466824	0.45	2857		92.91	SRS1992998	510	3466314	3466824	41457	196	145	10.632412024471597
SRS1992998_SemiBin_14	73.08	85.54	0.04	73.08	Neural Network (Specific Model)	11	0.839	13252	285.64510733203235	3657416	0.51	3587		72.88	SRS1992998	29050	3628366	3657416	13252	3300	395	9.491903763419788
SRS1992998_SemiBin_16	82.66	83.05	1.33	82.66	Neural Network (Specific Model)	11	0.88	10910	276.9398220826792	1797141	0.39	1911	 Singleton species	76.00999999999999	SRS1992998	6399	1790901	1797141	10910	840	216	9.297435078827116
SRS1992998_SemiBin_17	100.0	100.0	0.06	100.0	Neural Network (Specific Model)	11	0.891	58599	310.39737582005625	2226826	0.32	2134		99.7	SRS1992998	1280	2225546	2226826	58599	195	67	10.978472910573082
SRS1992998_SemiBin_20	91.53	91.42	1.22	91.53	Neural Network (Specific Model)	11	0.866	36294	330.68815165876777	2414244	0.6	2110		85.43	SRS1992998	1120	2413124	2414244	36294	267	155	10.49940771733497
SRS1992998_SemiBin_21	99.34	98.51	1.78	99.34	Neural Network (Specific Model)	11	0.882	61941	352.8029268292683	3685615	0.45	3075		90.44	SRS1992998	440	3685175	3685615	61941	168	124	11.033937598052988
SRS1992999_SemiBin_02	80.19	80.65	2.09	80.19	Neural Network (Specific Model)	11	0.866	11539	349.7074170704435	3247726	0.47	2683	 Singleton species	69.74	SRS1992999	11950	3235776	3247726	11539	1612	417	9.353487881194669
SRS1992999_SemiBin_04	99.99	100.0	0.44	99.99	Neural Network (Specific Model)	11	0.883	152447	322.41475146980224	2046534	0.4	1871		97.78999999999999	SRS1992999	679	2045864	2046534	152447	90	23	11.934572273639631
SRS1992999_SemiBin_05	91.21	90.47	0.75	91.21	Neural Network (Specific Model)	11	0.871	22037	332.92578339747115	2082289	0.56	1819		87.46	SRS1992999	2910	2079379	2082289	22037	454	163	10.000478137849756
SRS1992999_SemiBin_06	68.45	58.41	0.71	68.45	Neural Network (Specific Model)	11	0.871	12380	316.36099585062243	1573976	0.56	1446		64.9	SRS1992999	10	1573966	1573976	12380	198	197	9.423837546238587
SRS1992999_SemiBin_08	78.99	79.9	0.12	78.99	Neural Network (Specific Model)	11	0.869	10134	320.0217270194986	1977607	0.6	1795		78.39	SRS1992999	2750	1974857	1977607	10134	549	274	9.223651386035854
SRS1992999_SemiBin_09	99.92	99.96	0.13	99.92	Neural Network (Specific Model)	11	0.865	87585	303.1357581967213	2048296	0.47	1952		99.27	SRS1992999	651	2047656	2048296	87585	120	56	11.380365029385748
SRS1992999_SemiBin_10	94.16	88.57	0.55	94.16	Neural Network (Specific Model)	11	0.857	46398	326.6878585086042	2387476	0.62	2092		91.41	SRS1992999	560	2386916	2387476	46398	146	90	10.745011633837091
SRS1992999_SemiBin_14	91.8	95.44	0.94	91.8	Neural Network (Specific Model)	11	0.876	47736	346.08375041708376	3546875	0.45	2997		87.1	SRS1992999	790	3546085	3546875	47736	216	137	10.77344110920192
SRS1992999_SemiBin_16	73.3	77.77	0.69	73.3	Neural Network (Specific Model)	11	0.897	8918	278.95482295482293	1524110	0.33	1638		69.85	SRS1992999	8141	1516250	1524110	8918	1019	233	9.095826985187422
SRS1992999_SemiBin_17	78.31	76.35	5.44	78.31	Neural Network (Specific Model)	11	0.866	12900	312.4140161725068	2003810	0.59	1855		51.11	SRS1992999	3108	2000710	2003810	12900	544	234	9.464982590349765
SRS1992999_SemiBin_18	92.14	95.33	0.3	92.14	Neural Network (Specific Model)	11	0.868	47563	311.62412587412587	2460772	0.43	2288	 Singleton species	90.64	SRS1992999	120	2460652	2460772	47563	91	79	10.76981042703236
SRS1992999_SemiBin_19	100.0	99.49	0.95	100.0	Neural Network (Specific Model)	11	0.893	126463	347.7180065627564	5683272	0.43	4876		95.25	SRS1992999	410	5682862	5683272	126463	126	85	11.747705054247556
SRS1993000_SemiBin_01	91.98	86.85	1.34	91.98	Neural Network (Specific Model)	11	0.891	40942	326.1639305816135	4670931	0.43	4264		85.28	SRS1993000	6653	4664341	4670931	40942	854	195	10.619911710000569
SRS1993000_SemiBin_04	81.59	84.2	1.9	81.59	Gradient Boost (General Model)	11	0.868	12654	309.4817150063052	1693458	0.56	1586	Completeness was re-calibrated based on Completeness model used in all genomes of the species.	72.09	SRS1993000	4678	1688788	1693458	12654	667	200	9.44572864970683
SRS1993000_SemiBin_05	99.97	100.0	0.04	99.97	Neural Network (Specific Model)	11	0.884	154750	357.33479899497485	3856840	0.46	3184		99.77	SRS1993000	650	3856190	3856840	154750	124	59	11.949566190546845
SRS1993000_SemiBin_11	85.21	92.43	7.02	85.21	Neural Network (Specific Model)	11	0.904	35291	354.1748120300752	5615691	0.42	4788	 Singleton species	50.11	SRS1993000	9472	5606311	5615691	35291	1204	266	10.471383252907115
SRS1993000_SemiBin_18	77.46	69.05	2.61	77.46	Neural Network (Specific Model)	11	0.861	9178	283.4397744746284	1921472	0.6	1951		64.41	SRS1993000	7931	1913572	1921472	9178	1067	277	9.124564594954778
SRS1993000_SemiBin_19	82.6	93.09	1.23	82.6	Neural Network (Specific Model)	11	0.911	86328	314.2485854394568	2736910	0.43	2651		76.44999999999999	SRS1993000	1459	2735460	2736910	86328	211	66	11.36590927404357
SRS1993000_SemiBin_21	97.03	97.03	0.4	99.85	Gradient Boost (General Model)	11	0.857	22778	320.8086278109224	2445060	0.62	2179	 Singleton species	95.03	SRS1993000	2427	2442640	2445060	22778	409	167	10.033550436834297
SRS1993000_SemiBin_22	99.56	97.87	0.34	99.56	Neural Network (Specific Model)	11	0.895	88294	304.2732558139535	2278094	0.32	2236		97.86	SRS1993000	1140	2276954	2278094	88294	164	50	11.388427434113458
SRS1993001_SemiBin_02	75.39	64.26	0.32	75.39	Neural Network (Specific Model)	11	0.861	14224	276.5566647093365	1636684	0.37	1703		73.79	SRS1993001	2550	1634194	1636684	14224	415	166	9.562685957753686
SRS1993001_SemiBin_04	88.97	86.09	1.33	88.97	Neural Network (Specific Model)	11	0.882	18134	335.8694683221904	3584578	0.45	3141		82.32	SRS1993001	4020	3580558	3584578	18134	734	332	9.805543908206
SRS1993001_SemiBin_07	99.99	100.0	0.1	99.99	Neural Network (Specific Model)	11	0.89	25708	308.3125302370585	2146074	0.32	2067		99.49	SRS1993001	3187	2142904	2146074	25708	460	143	10.154557506491177
SRS1993001_SemiBin_08	97.59	97.93	3.0	97.59	Neural Network (Specific Model)	11	0.872	26010	283.4418865805727	1733855	0.38	1781		82.59	SRS1993001	1709	1732155	1733855	26010	287	117	10.166236358442696
SRS1993001_SemiBin_12	100.0	100.0	0.0	100.0	Neural Network (Specific Model)	11	0.878	31324	305.1987083954297	4192018	0.51	4026		100.0	SRS1993001	9541	4182508	4192018	31324	1198	247	10.352139855870828
SRS1993001_SemiBin_15	86.42	94.44	3.82	86.42	Neural Network (Specific Model)	11	0.854	20432	300.4738551477752	3242879	0.42	3079		67.32000000000001	SRS1993001	6161	3236759	3242879	20432	844	232	9.92485757827232
SRS1993001_SemiBin_19	96.4	95.25	0.12	96.4	Neural Network (Specific Model)	11	0.887	76990	320.1524616199047	2042694	0.4	1889		95.80000000000001	SRS1993001	515	2042184	2042694	76990	96	45	11.251430822272097
SRS1993001_SemiBin_20	80.58	79.87	3.26	80.58	Neural Network (Specific Model)	11	0.847	14739	267.3298013245033	2137944	0.59	2265		64.28	SRS1993001	8112	2130044	2137944	14739	1014	224	9.598252320836758
SRS1993001_SemiBin_22	92.11	92.94	0.06	92.11	Neural Network (Specific Model)	11	0.878	51142	348.16999682841737	3746170	0.45	3153		91.81	SRS1993001	540	3745630	3746170	51142	217	163	10.84236135641054
SRS1993001_SemiBin_28	93.53	96.8	1.88	93.53	Neural Network (Specific Model)	11	0.858	28427	331.10657966286027	2123998	0.63	1839		84.13	SRS1993001	1501	2122508	2123998	28427	248	99	10.255094676741612
SRS1993001_SemiBin_29	99.91	99.91	0.6	99.91	Neural Network (Specific Model)	11	0.872	78114	343.4347373894956	2267938	0.56	1923		96.91	SRS1993001	876	2267068	2267938	78114	159	72	11.265924577125451
SRS1993001_SemiBin_30	85.52	94.2	1.52	85.52	Neural Network (Specific Model)	11	0.877	23745	262.7145575642245	1882801	0.45	2102	 Singleton species	77.92	SRS1993001	6224	1876661	1882801	23745	757	143	10.075127260983225
SRS1993001_SemiBin_31	83.3	90.45	2.78	83.3	Neural Network (Specific Model)	11	0.841	17849	265.0457782299084	1853293	0.44	1966		69.4	SRS1993001	5728	1847633	1853293	17849	725	159	9.789702763229508
SRS1993001_SemiBin_34	99.8	100.0	0.11	99.8	Neural Network (Specific Model)	11	0.897	73884	305.42014958205016	2315790	0.46	2273		99.25	SRS1993001	154	2315640	2315790	73884	61	46	11.21025157469921
SRS1993002_SemiBin_01	98.34	98.27	0.18	98.34	Neural Network (Specific Model)	11	0.884	80190	349.00658720200755	3772642	0.45	3188		97.44	SRS1993002	2029	3770622	3772642	80190	297	95	11.292154097801074
SRS1993002_SemiBin_02	91.0	95.21	0.92	91.0	Neural Network (Specific Model)	11	0.835	31921	314.59816247582205	2334492	0.67	2068		86.4	SRS1993002	890	2333602	2334492	31921	199	110	10.371019379393823
SRS1993002_SemiBin_07	94.8	92.48	0.83	94.8	Neural Network (Specific Model)	11	0.866	54506	323.15735567970205	2400129	0.6	2148		90.64999999999999	SRS1993002	210	2399919	2400129	54506	118	97	10.906066066334803
SRS1993002_SemiBin_08	89.98	96.54	0.69	89.98	Neural Network (Specific Model)	11	0.865	28589	300.2873096446701	4098005	0.51	3940		86.53	SRS1993002	16974	4081055	4098005	28589	1935	240	10.26077730743986
SRS1993002_SemiBin_13	95.67	92.78	5.15	95.67	Neural Network (Specific Model)	11	0.865	14753	298.764	2068104	0.4	2000		69.92	SRS1993002	6341	2061764	2068104	14753	868	234	9.599201730917567
