genome	SpeciesNr	Species	Representative
SRS1993004_maxbin_14	49	sp49	SRS1993004_maxbin_14
SRS1993004_maxbin_15	2	sp02	SRS1993134_metabat_02
SRS1993004_metabat_01	16	sp16	SRS1993004_metabat_01
SRS1993004_metabat_03	20	sp20	SRS1992964_metabat_12
SRS1993004_metabat_12	50	sp50	SRS1993004_metabat_12
SRS1993006_maxbin_01	10	sp10	SRS1992978_maxbin_5
SRS1993006_maxbin_12	7	sp07	SRS1992991_maxbin_2
SRS1993006_metabat_02	19	sp19	SRS1993006_metabat_02
SRS1993006_metabat_03	4	sp04	SRS1993006_metabat_03
SRS1993006_metabat_06	2	sp02	SRS1993134_metabat_02
SRS1993006_metabat_10	51	sp51	SRS1993006_metabat_10
SRS1993058_maxbin_03	52	sp52	SRS1993058_maxbin_03
SRS1993058_maxbin_06	28	sp28	SRS1993058_maxbin_06
SRS1993062_maxbin_05	5	sp05	SRS1993116_metabat_07
SRS1993062_metabat_07_sub	12	sp12	SRS1992960_metabat_10
SRS1993062_metabat_08	53	sp53	SRS1993062_metabat_08
SRS1993066_maxbin_11	13	sp13	SRS1993150_metabat_01
SRS1993066_maxbin_13	4	sp04	SRS1993006_metabat_03
SRS1993066_metabat_03	6	sp06	SRS1993166_metabat_2
SRS1993066_metabat_12	29	sp29	SRS1993066_metabat_12
SRS1993092_maxbin_1	25	sp25	SRS1993116_metabat_05
SRS1993092_maxbin_7	5	sp05	SRS1993116_metabat_07
SRS1993092_metabat_10	12	sp12	SRS1992960_metabat_10
SRS1993106_maxbin_06	6	sp06	SRS1993166_metabat_2
SRS1993106_maxbin_09	14	sp14	SRS1993001_metabat_25
SRS1993106_metabat_03	3	sp03	SRS1993004_maxbin_04
SRS1993106_metabat_07	27	sp27	SRS1993116_metabat_08
SRS1993108_maxbin_09	8	sp08	SRS1993108_maxbin_09
SRS1993108_metabat_05	3	sp03	SRS1993004_maxbin_04
SRS1993116_maxbin_07	54	sp54	SRS1993116_maxbin_07
SRS1993116_maxbin_09	6	sp06	SRS1993166_metabat_2
SRS1993116_metabat_03	7	sp07	SRS1992991_maxbin_2
SRS1993116_metabat_05	25	sp25	SRS1993116_metabat_05
SRS1993116_metabat_07	5	sp05	SRS1993116_metabat_07
SRS1993116_metabat_08	27	sp27	SRS1993116_metabat_08
SRS1993122_metabat_05	6	sp06	SRS1993166_metabat_2
SRS1993122_metabat_08	12	sp12	SRS1992960_metabat_10
SRS1993132_maxbin_11	5	sp05	SRS1993116_metabat_07
SRS1993132_metabat_01	10	sp10	SRS1992978_maxbin_5
SRS1993132_metabat_04	55	sp55	SRS1993132_metabat_04
SRS1993134_maxbin_09	56	sp56	SRS1993134_maxbin_09
SRS1993134_maxbin_17	15	sp15	SRS1993134_maxbin_17
SRS1993134_metabat_02	2	sp02	SRS1993134_metabat_02
SRS1993134_metabat_08	57	sp57	SRS1993134_metabat_08
SRS1993134_metabat_09_sub	24	sp24	SRS1993134_metabat_09_sub
SRS1993134_metabat_14	58	sp58	SRS1993134_metabat_14
SRS1993134_metabat_15	6	sp06	SRS1993166_metabat_2
SRS1993140_maxbin_2	26	sp26	SRS1993140_maxbin_2
SRS1993140_maxbin_3	6	sp06	SRS1993166_metabat_2
SRS1993148_maxbin_3	13	sp13	SRS1993150_metabat_01
SRS1993148_maxbin_4	6	sp06	SRS1993166_metabat_2
SRS1993148_metabat_07	15	sp15	SRS1993134_maxbin_17
SRS1993150_maxbin_09	59	sp59	SRS1993150_maxbin_09
SRS1993150_metabat_01	13	sp13	SRS1993150_metabat_01
SRS1993166_maxbin_2	13	sp13	SRS1993150_metabat_01
SRS1993166_metabat_2	6	sp06	SRS1993166_metabat_2
SRS1993172_maxbin_7	6	sp06	SRS1993166_metabat_2
SRS1993172_metabat_07	10	sp10	SRS1992978_maxbin_5
