genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992962_metabat_21	69.93	86.18	0.2	69.93	Neural Network (Specific Model)	11	0.862	18853	285.16843418590145	1587274	0.61	1603		68.93	SRS1992962	3067	1584294	1587274	18853	447	149	9.844427331406584
SRS1992962_metabat_22	72.54	74.9	1.06	72.54	Neural Network (Specific Model)	11	0.9	9809	314.64536741214056	2289867	0.43	2191	 Singleton species	67.24000000000001	SRS1992962	8565	2281547	2289867	9809	1158	326	9.191055610564316
SRS1992962_metabat_24	75.78	76.4	3.09	75.78	Neural Network (Specific Model)	11	0.862	15155	294.97156084656086	1548209	0.56	1512		60.33	SRS1992962	5948	1542359	1548209	15155	757	172	9.626085789491905
SRS1992962_metabat_28	66.01	75.71	1.2	66.01	Neural Network (Specific Model)	11	0.866	7088	239.4599627560521	1331278	0.4	1611		60.010000000000005	SRS1992962	6891	1324568	1331278	7088	923	252	8.866158492284917
SRS1992964_maxbin_15	100.0	99.84	1.22	100.0	Neural Network (Specific Model)	11	0.881	81065	308.36496664514743	4871549	0.51	4647		93.9	SRS1992964	965	4870589	4871549	81065	224	128	11.303006580984167
SRS1992964_metabat_07	60.81	64.42	0.0	60.81	Neural Network (Specific Model)	11	0.897	79846	314.7404063205417	1397166	0.32	1329		60.81	SRS1992964	460	1396706	1397166	79846	77	31	11.287855058462304
SRS1992964_metabat_12	87.74	91.79	0.11	87.74	Neural Network (Specific Model)	11	0.872	42955	306.23736372646187	2120480	0.54	2018		87.19	SRS1992964	2110	2118400	2120480	42955	288	80	10.667908335072156
SRS1992966_metabat_4	84.53	92.34	0.13	84.53	Neural Network (Specific Model)	11	0.873	13089	273.7302177376527	1766312	0.4	1883		83.88	SRS1992966	5090	1761272	1766312	13089	716	212	9.47952746179172
SRS1992968_metabat_2	64.2	80.11	0.0	64.2	Neural Network (Specific Model)	11	0.889	117334	323.9393063583815	3020823	0.51	2768		64.2	SRS1992968	900	3019923	3020823	117334	127	37	11.672779847714164
SRS1992970_maxbin_1	100.0	100.0	0.23	100.0	Neural Network (Specific Model)	11	0.868	46670	300.8548521449396	4984359	0.51	4802		98.85	SRS1992970	2400	4981959	4984359	46670	515	275	10.75085683894386
SRS1992972_maxbin_02	99.87	98.29	5.33	99.87	Neural Network (Specific Model)	11	0.875	32422	295.7536204268293	5309807	0.51	5248		73.22	SRS1992972	2003	5307807	5309807	32422	504	304	10.386592483701518
SRS1992972_metabat_05	65.36	66.95	0.12	65.36	Neural Network (Specific Model)	11	0.908	123956	314.3720930232558	1160463	0.35	1118	 Singleton species	64.76	SRS1992972	791	1159683	1160463	123956	92	14	11.727681942907346
SRS1992974_maxbin_1	93.4	96.61	0.31	93.4	Neural Network (Specific Model)	11	0.839	42720	291.54489164086687	2015732	0.44	1938		91.85000000000001	SRS1992974	3626	2012162	2015732	42720	433	76	10.662422473634075
SRS1992974_maxbin_6	100.0	100.0	0.06	100.0	Neural Network (Specific Model)	11	0.885	114265	308.7898901098901	4752237	0.51	4550		99.7	SRS1992974	600	4751637	4752237	114265	143	83	11.646275591166985
SRS1992976_maxbin_2	100.0	100.0	0.79	100.0	Neural Network (Specific Model)	11	0.885	98707	316.412	5356567	0.57	5000		96.05	SRS1992976	290	5356277	5356567	98707	141	112	11.499911144892543
SRS1992976_metabat_5	83.28	81.34	0.05	83.28	Neural Network (Specific Model)	11	0.851	17467	288.5103761348898	1564749	0.4	1542		83.03	SRS1992976	9110	1555639	1564749	17467	1051	140	9.768068665428393
SRS1992978_maxbin_3	99.28	96.32	1.26	99.28	Neural Network (Specific Model)	11	0.892	64369	309.8442566796072	4552138	0.55	4379	 Singleton species	92.98	SRS1992978	430	4551708	4552138	64369	178	135	11.07238742973879
SRS1992978_maxbin_5	99.98	98.25	0.85	99.98	Neural Network (Specific Model)	11	0.865	104436	329.4754098360656	2572969	0.6	2257		95.73	SRS1992978	460	2572509	2572969	104436	85	39	11.556329722577514
SRS1992980_maxbin_5	100.0	100.0	0.45	100.0	Neural Network (Specific Model)	11	0.881	97013	312.23250743310206	5352426	0.5	5045		97.75	SRS1992980	768	5351666	5352426	97013	216	140	11.482600269124116
SRS1992988_metabat_03	96.47	93.46	0.03	96.47	Neural Network (Specific Model)	11	0.889	70454	310.3061662198392	1949652	0.42	1865		96.32	SRS1992988	1195	1948492	1949652	70454	154	38	11.16271529357166
SRS1992991_maxbin_2	99.8	99.53	0.15	99.8	Neural Network (Specific Model)	11	0.836	98135	302.82967959527826	1930584	0.44	1779		99.05	SRS1992991	1210	1929374	1930584	98135	156	35	11.49409936072018
SRS1992991_maxbin_6	100.0	97.9	0.72	100.0	Neural Network (Specific Model)	11	0.884	120581	311.4393817743878	5257151	0.51	4982		96.4	SRS1992991	300	5256851	5257151	120581	141	111	11.700077005258304
SRS1992994_maxbin_2	100.0	100.0	0.41	100.0	Neural Network (Specific Model)	11	0.871	114047	300.2472118959108	4997478	0.51	4842		97.95	SRS1992994	900	4996578	4997478	114047	183	93	11.64436592311405
SRS1992995_maxbin_03	91.55	96.56	0.4	91.55	Neural Network (Specific Model)	11	0.885	45669	298.0457831325301	2508464	0.42	2490		89.55	SRS1992995	5763	2502844	2508464	45669	668	106	10.729175009727363
SRS1992995_metabat_01	99.79	100.0	0.02	99.79	Neural Network (Specific Model)	11	0.895	137331	306.1697695035461	2311864	0.47	2256		99.69000000000001	SRS1992995	120	2311744	2311864	137331	36	24	11.830149349227955
SRS1992995_metabat_02	74.56	77.91	0.09	74.56	Neural Network (Specific Model)	11	0.922	98437	387.8161546085233	2543632	0.44	2018	 Singleton species	74.11	SRS1992995	200	2543432	2543632	98437	69	49	11.49717202862411
SRS1992995_metabat_07	95.27	95.35	0.61	95.27	Neural Network (Specific Model)	11	0.88	65527	317.1413955928646	4115489	0.51	3812		92.22	SRS1992995	7615	4107879	4115489	65527	879	118	11.090217550427058
SRS1992995_metabat_09	87.88	92.54	1.58	87.88	Neural Network (Specific Model)	11	0.883	26951	291.0202075368651	1806096	0.42	1831		79.97999999999999	SRS1992995	3189	1802936	1806096	26951	416	100	10.201775681400134
SRS1992995_metabat_10	99.94	99.36	1.74	99.94	Neural Network (Specific Model)	11	0.862	59483	325.3972286374134	2448835	0.6	2165		91.24	SRS1992995	1234	2447605	2448835	59483	196	73	10.993445836423904
SRS1992995_metabat_12	92.76	88.69	1.72	92.76	Neural Network (Specific Model)	11	0.862	56592	337.98729983434566	2125315	0.63	1811		84.16000000000001	SRS1992995	330	2124985	2125315	56592	118	85	10.943622911445262
SRS1992998_maxbin_04_sub	91.99	91.79	1.42	91.99	Neural Network (Specific Model)	11	0.866	36294	326.9441647597254	2470976	0.6	2185		84.89	SRS1992998	1120	2469856	2470976	36294	295	183	10.49940771733497
SRS1992998_maxbin_09	100.0	100.0	0.06	100.0	Neural Network (Specific Model)	11	0.892	52208	308.3057522123894	2340678	0.32	2260		99.7	SRS1992998	1310	2339368	2340678	52208	216	85	10.8629910188331
SRS1992998_maxbin_11	99.88	100.0	0.0	99.88	Neural Network (Specific Model)	11	0.864	45357	290.7973348139922	1815239	0.53	1801	 Singleton species	99.88	SRS1992998	530	1814709	1815239	45357	123	70	10.72231979864831
SRS1992998_metabat_02	96.57	97.19	1.28	96.57	Neural Network (Specific Model)	11	0.872	57733	353.3611464968153	1906967	0.56	1570		90.16999999999999	SRS1992998	1420	1905547	1906967	57733	197	55	10.96358421275364
SRS1992998_metabat_13	99.77	98.0	0.83	99.77	Neural Network (Specific Model)	11	0.885	32882	329.70884993587003	2607591	0.56	2339	 Singleton species	95.61999999999999	SRS1992998	2517	2605101	2607591	32882	367	118	10.400680674570822
SRS1992999_maxbin_02	99.74	97.92	0.11	99.74	Neural Network (Specific Model)	11	0.87	87585	299.8187050359712	2153479	0.47	2085		99.19	SRS1992999	620	2152869	2153479	87585	109	48	11.380365029385748
SRS1992999_maxbin_08	99.98	99.94	0.03	99.98	Neural Network (Specific Model)	11	0.932	390854	300.76009096077314	1697168	0.31	1759	 Singleton species	99.83	SRS1992999	90	1697078	1697168	390854	25	16	12.876089367701264
SRS1992999_metabat_05	95.74	99.8	0.3	95.74	Neural Network (Specific Model)	11	0.842	43752	304.4244872591672	1743052	0.44	1609		94.24	SRS1992999	2100	1740952	1743052	43752	281	71	10.686292605026608
SRS1992999_metabat_07	100.0	100.0	2.06	99.92	Gradient Boost (General Model)	11	0.875	107006	286.23612440191386	4094602	0.39	4180	 Singleton species	89.7	SRS1992999	3653	4091002	4094602	107006	447	87	11.580640186638268
SRS1992999_metabat_10	89.34	84.62	2.45	89.34	Neural Network (Specific Model)	11	0.861	43945	333.2923640167364	2215378	0.63	1912		77.09	SRS1992999	320	2215058	2215378	43945	120	88	10.690694130998745
SRS1992999_metabat_16	88.86	97.28	0.37	88.86	Neural Network (Specific Model)	11	0.857	45632	326.5903175429464	2192983	0.6	1921		87.01	SRS1992999	5569	2187423	2192983	45632	644	88	10.728364503773967
SRS1992999_metabat_22	76.97	75.32	4.13	76.97	Neural Network (Specific Model)	11	0.87	9744	322.5952380952381	1773559	0.6	1596		56.32	SRS1992999	3050	1770509	1773559	9744	561	256	9.18440698994968
SRS1993000_maxbin_14	97.53	97.53	0.79	97.83	Gradient Boost (General Model)	11	0.865	25387	326.0813542193027	2236197	0.63	1979	 Singleton species	93.58	SRS1993000	2157	2234047	2236197	25387	366	151	10.141992510963036
SRS1993000_metabat_05	62.69	62.75	0.37	62.69	Neural Network (Specific Model)	11	0.914	125232	328.5123966942149	1822391	0.43	1694	 Singleton species	60.839999999999996	SRS1993000	623	1821771	1822391	125232	90	28	11.737923296044618
SRS1993000_metabat_12	90.46	90.46	1.28	82.87	Gradient Boost (General Model)	11	0.855	24019	300.6655580192166	2847363	0.49	2706	 Singleton species	84.05999999999999	SRS1993000	4969	2842493	2847363	24019	679	192	10.086600462793983
SRS1993000_metabat_16_sub	87.23	83.23	3.4	87.23	Neural Network (Specific Model)	11	0.859	11620	292.6611452910554	2152322	0.56	2113		70.23	SRS1993000	6002	2146342	2152322	11620	880	282	9.360483030405902
SRS1993000_metabat_17_sub	78.19	75.12	5.49	78.19	Neural Network (Specific Model)	11	0.856	9219	280.23276776246024	1846321	0.6	1886		50.739999999999995	SRS1993000	8147	1838221	1846321	9219	1103	293	9.129021850798594
SRS1993001_maxbin_21	97.08	98.44	0.53	97.08	Neural Network (Specific Model)	11	0.889	61403	373.567612687813	3016561	0.49	2396		94.42999999999999	SRS1993001	1387	3015181	3016561	61403	255	117	11.02521397287648
SRS1993001_metabat_01	99.92	99.12	0.95	99.92	Neural Network (Specific Model)	11	0.891	146997	323.3171875	2781724	0.42	2560		95.17	SRS1993001	240	2781484	2781724	146997	48	24	11.89816745738936
SRS1993001_metabat_08	96.33	96.33	0.99	92.19	Gradient Boost (General Model)	11	0.894	39911	303.0489352061622	2240390	0.34	2207		91.38	SRS1993001	780	2239610	2240390	39911	154	76	10.594407254105722
SRS1993001_metabat_20	84.04	91.31	2.61	84.04	Neural Network (Specific Model)	11	0.842	19204	264.0085127691537	1871814	0.44	1997		70.99000000000001	SRS1993001	5666	1866214	1871814	19204	714	154	9.862873869650832
SRS1993001_metabat_21	88.64	95.92	1.64	88.64	Neural Network (Specific Model)	11	0.856	26987	333.1474358974359	1999242	0.63	1716		80.44	SRS1993001	1574	1997682	1999242	26987	264	108	10.203110547555555
SRS1993001_metabat_23	74.31	89.54	0.0	74.31	Neural Network (Specific Model)	4	0.907	16244	304.7604395604396	457281	0.29	455		74.31	SRS1993001	1766	455561	457281	16244	220	48	9.69547888880619
SRS1993001_metabat_25	84.8	93.01	2.13	84.8	Neural Network (Specific Model)	11	0.877	25171	259.278	1769142	0.45	2000		74.15	SRS1993001	5404	1763812	1769142	25171	661	128	10.13344781717726
SRS1993001_metabat_26	77.05	92.3	0.07	77.05	Neural Network (Specific Model)	11	0.869	15586	316.2904389657246	1812881	0.61	1663		76.7	SRS1993001	6470	1806411	1812881	15586	824	177	9.654128354403506
SRS1993001_metabat_27	81.15	81.27	2.78	81.15	Neural Network (Specific Model)	11	0.85	14755	265.6115007012623	1999053	0.59	2139		67.25	SRS1993001	7454	1991783	1999053	14755	951	224	9.59933728737704
SRS1993002_maxbin_10	92.62	92.43	0.33	92.62	Neural Network (Specific Model)	11	0.851	15413	294.40463362068965	1921385	0.4	1856		90.97	SRS1993002	6000	1915385	1921385	15413	817	217	9.64296658814672
SRS1993002_maxbin_16	99.98	100.0	0.52	99.98	Neural Network (Specific Model)	11	0.94	152912	301.94601962922576	1761394	0.3	1834		97.38000000000001	SRS1993002	386	1761014	1761394	152912	80	42	11.93761787150596
SRS1993002_maxbin_17	99.97	100.0	0.08	99.97	Neural Network (Specific Model)	11	0.868	130212	299.41872877244055	2129160	0.47	2061		99.57	SRS1993002	100	2129060	2129160	130212	63	53	11.776919170408208
SRS1993002_metabat_01	99.99	100.0	0.52	99.99	Neural Network (Specific Model)	11	0.896	176195	361.5740291262136	4983123	0.43	4120	 Singleton species	97.39	SRS1993002	680	4982443	4983123	176195	110	42	12.07934661523709
SRS1993002_metabat_02	95.09	96.64	1.03	95.09	Neural Network (Specific Model)	11	0.858	121489	345.2006578947368	2196983	0.63	1824		89.94	SRS1993002	220	2196763	2196983	121489	59	37	11.707579002684778
SRS1993002_metabat_09	93.71	97.06	0.34	93.71	Neural Network (Specific Model)	11	0.864	28186	297.3151760228354	4333485	0.51	4204		92.00999999999999	SRS1993002	17155	4316355	4333485	28186	1982	269	10.246580679751457
SRS1993002_metabat_12	94.68	91.0	0.57	94.68	Neural Network (Specific Model)	11	0.87	55787	329.55655868295275	2137720	0.6	1883		91.83000000000001	SRS1993002	210	2137510	2137720	55787	97	76	10.92929614631614
SRS1993002_metabat_15	83.99	78.02	3.15	83.99	Neural Network (Specific Model)	11	0.875	45558	343.359898798229	1858191	0.59	1581		68.24	SRS1993002	300	1857891	1858191	45558	103	73	10.726741518441289
SRS1993002_metabat_16	99.65	99.74	0.5	99.65	Neural Network (Specific Model)	11	0.85	17033	296.43189017951426	1978977	0.44	1894		97.15	SRS1993002	6530	1972447	1978977	17033	831	178	9.742907917860578
SRS1993002_metabat_18	90.67	94.71	0.77	90.67	Neural Network (Specific Model)	11	0.836	32842	317.09552538964306	2258667	0.67	1989	 Singleton species	86.82000000000001	SRS1993002	830	2257837	2258667	32842	192	109	10.399463463051784
SRS1993003_maxbin_01	100.0	98.52	3.89	100.0	Neural Network (Specific Model)	11	0.88	76898	300.1169764994739	5821503	0.5	5702		80.55	SRS1993003	2720	5818783	5821503	76898	498	226	11.250235147353186
SRS1993003_maxbin_04	99.34	99.81	0.11	99.34	Neural Network (Specific Model)	11	0.878	89130	353.20054694621695	3968770	0.45	3291	 Singleton species	98.79	SRS1993003	640	3968130	3968770	89130	155	91	11.397851257124763
SRS1993003_metabat_14	89.32	91.71	2.33	89.32	Neural Network (Specific Model)	11	0.853	12081	297.3560924369748	2979445	0.42	2856		77.66999999999999	SRS1993003	11225	2968285	2979445	12081	1484	368	9.399389249519563
SRS1993004_maxbin_04	98.63	99.5	0.43	98.63	Neural Network (Specific Model)	11	0.871	53776	344.710650887574	2004684	0.56	1690		96.47999999999999	SRS1993004	4510	2000174	2004684	53776	552	101	10.892582549964889
SRS1993004_maxbin_07	99.74	99.74	0.81	99.55	Gradient Boost (General Model)	11	0.89	33908	298.4866850321396	2186648	0.34	2178		95.69	SRS1993004	813	2185848	2186648	33908	194	114	10.431406253728296
SRS1993004_maxbin_11	100.0	99.89	7.08	100.0	Neural Network (Specific Model)	11	0.845	168690	303.09173893199454	2352765	0.44	2191		64.6	SRS1993004	1000	2351765	2352765	168690	132	32	12.035817989954356
SRS1993004_maxbin_12	85.27	95.46	0.0	85.27	Neural Network (Specific Model)	4	0.91	55948	333.4502712477396	605711	0.28	553		85.27	SRS1993004	230	605481	605711	55948	44	21	10.932177966899197
SRS1993004_maxbin_14	94.99	93.69	1.93	94.99	Neural Network (Specific Model)	11	0.877	28879	339.26010603048377	3498496	0.45	3018	 Singleton species	85.33999999999999	SRS1993004	820	3497676	3498496	28879	350	268	10.270869966368489
SRS1993004_maxbin_15	96.45	100.0	1.87	96.45	Neural Network (Specific Model)	11	0.851	38641	327.34252169474223	2256813	0.62	1959		87.1	SRS1993004	1980	2254833	2256813	38641	315	117	10.56206916790876
SRS1993004_metabat_01	99.96	98.32	0.16	99.96	Neural Network (Specific Model)	11	0.889	182340	323.7814107274063	2970169	0.41	2722		99.16	SRS1993004	190	2969979	2970169	182340	46	27	12.113628355138896
SRS1993004_metabat_03	81.96	89.54	0.0	81.96	Neural Network (Specific Model)	11	0.878	44807	324.977866061294	1953101	0.54	1762		81.96	SRS1993004	30	1953071	1953101	44807	60	57	10.710119656197318
SRS1993004_metabat_12	90.69	90.69	0.95	87.35	Gradient Boost (General Model)	11	0.869	22581	305.8390804597701	1926286	0.65	1827	 Singleton species	85.94	SRS1993004	1944	1924346	1926286	22581	331	137	10.024864123702642
SRS1993006_maxbin_01	94.1	88.07	0.99	94.1	Neural Network (Specific Model)	11	0.87	65356	325.09901800327333	2736220	0.6	2444		89.14999999999999	SRS1993006	860	2735360	2736220	65356	206	120	11.087604528150717
SRS1993006_maxbin_12	99.96	99.77	0.36	99.96	Neural Network (Specific Model)	11	0.838	68559	305.33081896551727	2025524	0.44	1856		98.16	SRS1993006	1100	2024424	2025524	68559	156	46	11.135449967400994
SRS1993006_metabat_02	99.93	100.0	0.04	99.93	Neural Network (Specific Model)	11	0.896	104449	305.27678181023174	2332793	0.46	2287		99.73	SRS1993006	200	2332593	2332793	104449	56	36	11.556454192980048
SRS1993006_metabat_03	98.45	100.0	0.27	98.45	Neural Network (Specific Model)	11	0.873	53858	351.5435158501441	2092322	0.56	1735		97.10000000000001	SRS1993006	1310	2091012	2092322	53858	190	59	10.894106232367552
SRS1993006_metabat_06	86.14	83.7	1.07	86.14	Neural Network (Specific Model)	11	0.863	30241	341.09586466165416	1890375	0.63	1596		80.79	SRS1993006	683	1889695	1890375	30241	166	98	10.316953898529778
SRS1993006_metabat_10	82.94	84.42	2.03	82.94	Neural Network (Specific Model)	11	0.868	14288	295.9311653116531	1883004	0.66	1845	 Singleton species	72.78999999999999	SRS1993006	1321	1881704	1883004	14288	334	204	9.56717530311628
SRS1993058_maxbin_03	99.83	100.0	0.07	99.83	Neural Network (Specific Model)	11	0.897	99812	304.78562653562653	1654915	0.36	1628	 Singleton species	99.48	SRS1993058	30	1654885	1654915	99812	31	28	11.51104369555221
SRS1993058_maxbin_06	100.0	98.87	0.03	100.0	Neural Network (Specific Model)	11	0.885	144018	314.5060581583199	5270348	0.58	4952		99.85	SRS1993058	665	5269688	5270348	144018	132	66	11.877693570746288
SRS1993062_maxbin_05	100.0	100.0	2.92	100.0	Neural Network (Specific Model)	11	0.878	147855	309.24657534246575	2155943	0.4	2044		85.4	SRS1993062	410	2155533	2155943	147855	104	63	11.90398734276765
SRS1993062_metabat_07_sub	80.18	84.52	0.7	80.18	Neural Network (Specific Model)	11	0.847	21881	296.9843851659076	1613830	0.38	1537		76.68	SRS1993062	7960	1605870	1613830	21881	906	110	9.99337395933065
SRS1993062_metabat_08	63.24	80.45	0.0	63.24	Neural Network (Specific Model)	11	0.878	25064	306.0728813559322	1849155	0.4	1770	 Singleton species	63.24	SRS1993062	1320	1847835	1849155	25064	272	140	10.129187832632027
SRS1993066_maxbin_11	99.99	99.92	0.41	99.99	Neural Network (Specific Model)	11	0.863	558811	289.0779981965735	2225080	0.38	2218		97.94	SRS1993066	110	2224970	2225080	558811	41	30	13.233566591210566
SRS1993066_maxbin_13	93.96	94.75	1.54	93.96	Neural Network (Specific Model)	11	0.877	82648	351.0058207217695	2058114	0.56	1718		86.25999999999999	SRS1993066	550	2057564	2058114	82648	98	43	11.322345904529282
SRS1993066_metabat_03	99.97	98.32	0.21	99.97	Neural Network (Specific Model)	11	0.886	84064	316.07050423917894	4791468	0.51	4482		98.92	SRS1993066	1100	4790368	4791468	84064	208	98	11.339333692485267
SRS1993066_metabat_12	80.0	72.69	1.72	80.0	Neural Network (Specific Model)	11	0.861	20896	290.199593702387	1984872	0.59	1969		71.4	SRS1993066	6083	1978952	1984872	20896	743	151	9.947313032076158
SRS1993092_maxbin_1	84.55	92.36	0.14	84.55	Neural Network (Specific Model)	11	0.881	107058	292.2024579560155	1536678	0.37	1546		83.85	SRS1993092	20	1536658	1536678	107058	23	21	11.581126022659484
SRS1993092_maxbin_7	94.23	89.84	5.58	94.23	Neural Network (Specific Model)	11	0.879	98315	311.48108684070326	1992087	0.4	1877		66.33000000000001	SRS1993092	510	1991577	1992087	98315	103	52	11.495931888593658
SRS1993092_metabat_10	85.14	88.48	0.27	85.14	Neural Network (Specific Model)	11	0.905	7317	303.77231329690346	1654651	0.39	1647		83.79	SRS1993092	3167	1651591	1654651	7317	593	287	8.89795568688403
SRS1993106_maxbin_06	100.0	99.97	0.26	100.0	Neural Network (Specific Model)	11	0.878	156050	311.4168251955189	5028399	0.51	4731		98.7	SRS1993106	1210	5027189	5028399	156050	204	83	11.957931747698924
SRS1993106_maxbin_09	83.29	87.9	3.58	83.29	Neural Network (Specific Model)	11	0.872	44283	267.52185223725286	1761908	0.45	1922		65.39000000000001	SRS1993106	9809	1752328	1761908	44283	1072	114	10.698356135205106
SRS1993106_metabat_03	76.23	76.78	0.31	76.23	Neural Network (Specific Model)	11	0.888	125912	359.06860158311343	1377710	0.56	1137		74.68	SRS1993106	40	1377670	1377710	125912	28	24	11.743338529231435
SRS1993106_metabat_07	98.76	98.67	0.64	98.76	Neural Network (Specific Model)	11	0.918	37606	279.3831242873432	1596021	0.31	1754		95.56	SRS1993106	3551	1592521	1596021	37606	425	75	10.53491889111542
SRS1993108_maxbin_09	99.95	100.0	0.06	99.95	Neural Network (Specific Model)	11	0.862	84118	296.1733531451213	2077311	0.47	2019		99.65	SRS1993108	110	2077201	2077311	84118	67	56	11.339975853975268
SRS1993108_metabat_05	92.87	97.18	1.49	92.87	Neural Network (Specific Model)	11	0.879	100572	361.6587771203156	1876168	0.56	1521		85.42	SRS1993108	200	1875968	1876168	100572	58	38	11.518629167886909
SRS1993116_maxbin_07	90.19	92.21	2.03	90.19	Neural Network (Specific Model)	11	0.873	28296	283.1004660797514	1874981	0.42	1931	 Singleton species	80.03999999999999	SRS1993116	11544	1863721	1874981	28296	1246	120	10.250475730885316
SRS1993116_maxbin_09	53.63	73.07	0.0	53.63	Neural Network (Specific Model)	11	0.872	31410	304.54664791373654	2232631	0.51	2133		53.63	SRS1993116	4800	2227831	2232631	31410	615	135	10.354881592532692
SRS1993116_metabat_03	76.17	75.43	0.17	76.17	Neural Network (Specific Model)	11	0.838	107160	303.72115384615387	1693133	0.44	1560		75.32000000000001	SRS1993116	1100	1692033	1693133	107160	137	27	11.582078323658545
SRS1993116_metabat_05	96.0	89.46	0.79	96.0	Neural Network (Specific Model)	11	0.871	46508	289.64256075874334	1680637	0.38	1687		92.05	SRS1993116	2400	1678237	1680637	46508	289	49	10.747379619788498
SRS1993116_metabat_07	99.66	96.3	0.08	99.66	Neural Network (Specific Model)	11	0.884	100921	311.5334403424291	1971833	0.4	1869		99.25999999999999	SRS1993116	710	1971123	1971833	100921	109	38	11.522093311544586
SRS1993116_metabat_08	99.99	100.0	0.04	99.99	Neural Network (Specific Model)	11	0.944	107188	305.42052785923755	1649082	0.3	1705		99.78999999999999	SRS1993116	2868	1646272	1649082	107188	312	31	11.582339581054548
SRS1993122_metabat_05	69.24	84.25	0.0	69.24	Neural Network (Specific Model)	11	0.884	48806	312.6332155477032	2998209	0.51	2830		69.24	SRS1993122	1700	2996509	2998209	48806	266	96	10.795608535103078
SRS1993122_metabat_08	93.07	95.97	0.08	93.07	Neural Network (Specific Model)	11	0.872	27165	306.5135900339751	1859520	0.38	1766		92.66999999999999	SRS1993122	6706	1852930	1859520	27165	761	102	10.209684658985624
SRS1993132_maxbin_11	67.05	74.38	0.58	67.05	Neural Network (Specific Model)	11	0.868	29975	301.0543831168831	1279508	0.4	1232		64.14999999999999	SRS1993132	2500	1277008	1279508	29975	328	78	10.308118979895715
SRS1993132_metabat_01	88.16	83.54	2.07	88.16	Neural Network (Specific Model)	11	0.863	42290	331.7649667405765	2078134	0.6	1804		77.81	SRS1993132	3670	2074464	2078134	42290	459	92	10.652305930466534
SRS1993132_metabat_04	100.0	100.0	0.1	100.0	Neural Network (Specific Model)	11	0.946	63805	298.7588774341352	1648251	0.34	1746	 Singleton species	99.5	SRS1993132	697	1647561	1648251	63805	121	52	11.063586836168076
SRS1993134_maxbin_09	98.6	100.0	0.4	98.6	Neural Network (Specific Model)	11	0.873	145983	343.51950254381006	2086812	0.6	1769	 Singleton species	96.6	SRS1993134	379	2086442	2086812	145983	62	25	11.891245455554838
