genome	SpeciesNr	Species	Representative
SRS1992995_vamb_640	31	sp31	SRS1992995_vamb_640
SRS1992995_vamb_692	15	sp15	SRS1992999_vamb_699
SRS1992995_vamb_8	38	sp38	SRS1992995_vamb_8
SRS1992995_vamb_854	62	sp62	SRS1992995_vamb_854
SRS1992995_vamb_886	63	sp63	SRS1992995_vamb_886
SRS1992998_vamb_1280	30	sp30	SRS1992960_vamb_507
SRS1992998_vamb_1350	32	sp32	SRS1993000_vamb_1021
SRS1992998_vamb_1423	13	sp13	SRS1992999_vamb_2008
SRS1992998_vamb_169	64	sp64	SRS1992998_vamb_169
SRS1992998_vamb_1704	4	sp04	SRS1992958_vamb_477
SRS1992998_vamb_2058	17	sp17	SRS1993003_vamb_1521
SRS1992998_vamb_272	65	sp65	SRS1992998_vamb_272
SRS1992998_vamb_28	66	sp66	SRS1992998_vamb_28
SRS1992998_vamb_411	16	sp16	SRS1992988_vamb_411
SRS1992999_vamb_1305	67	sp67	SRS1992999_vamb_1305
SRS1992999_vamb_15313	68	sp68	SRS1992999_vamb_15313
SRS1992999_vamb_1543	19	sp19	SRS1993002_vamb_1543
SRS1992999_vamb_1601	44	sp44	SRS1992995_vamb_1198
SRS1992999_vamb_164	7	sp07	SRS1993002_vamb_903
SRS1992999_vamb_1899	17	sp17	SRS1993003_vamb_1521
SRS1992999_vamb_2008	13	sp13	SRS1992999_vamb_2008
SRS1992999_vamb_268	69	sp69	SRS1992999_vamb_268
SRS1992999_vamb_2778	4	sp04	SRS1992958_vamb_477
SRS1992999_vamb_441	70	sp70	SRS1992999_vamb_441
SRS1992999_vamb_699	15	sp15	SRS1992999_vamb_699
SRS1992999_vamb_759	36	sp36	SRS1992999_vamb_759
SRS1993000_vamb_102	71	sp71	SRS1993000_vamb_102
SRS1993000_vamb_1021	32	sp32	SRS1993000_vamb_1021
SRS1993000_vamb_126	18	sp18	SRS1993000_vamb_126
SRS1993000_vamb_153	72	sp72	SRS1993000_vamb_153
SRS1993000_vamb_267	28	sp28	SRS1993000_vamb_267
SRS1993000_vamb_338	73	sp73	SRS1993000_vamb_338
SRS1993000_vamb_341	74	sp74	SRS1993000_vamb_341
SRS1993000_vamb_740	75	sp75	SRS1993000_vamb_740
SRS1993000_vamb_759	36	sp36	SRS1992999_vamb_759
SRS1993001_vamb_1000	24	sp24	SRS1993134_vamb_260
SRS1993001_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993001_vamb_110	35	sp35	SRS1993004_vamb_110
SRS1993001_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993001_vamb_1351	2	sp02	SRS1993108_vamb_3038
SRS1993001_vamb_139	15	sp15	SRS1992999_vamb_699
SRS1993001_vamb_1632	34	sp34	SRS1993004_vamb_683
SRS1993001_vamb_1659	13	sp13	SRS1992999_vamb_2008
SRS1993001_vamb_1672	32	sp32	SRS1993000_vamb_1021
SRS1993001_vamb_183	76	sp76	SRS1993001_vamb_183
SRS1993001_vamb_199	48	sp48	SRS1993106_vamb_199
SRS1993001_vamb_200	39	sp39	SRS1993001_vamb_200
SRS1993001_vamb_280	7	sp07	SRS1993002_vamb_903
SRS1993001_vamb_3093	17	sp17	SRS1993003_vamb_1521
SRS1993001_vamb_351	31	sp31	SRS1992995_vamb_640
SRS1993001_vamb_394	47	sp47	SRS1993134_vamb_343
SRS1993001_vamb_8	38	sp38	SRS1992995_vamb_8
SRS1993001_vamb_988	12	sp12	SRS1993004_vamb_577
SRS1993002_vamb_1021	32	sp32	SRS1993000_vamb_1021
SRS1993002_vamb_109	25	sp25	SRS1993002_vamb_109
SRS1993002_vamb_1284	42	sp42	SRS1993002_vamb_1284
SRS1993002_vamb_1322	37	sp37	SRS1993108_vamb_4375
SRS1993002_vamb_139	15	sp15	SRS1992999_vamb_699
SRS1993002_vamb_1410	27	sp27	SRS1993132_vamb_4798
SRS1993002_vamb_1525	9	sp09	SRS1992958_vamb_2840
SRS1993002_vamb_1543	19	sp19	SRS1993002_vamb_1543
SRS1993002_vamb_2112	33	sp33	SRS1993002_vamb_2112
SRS1993002_vamb_2132	17	sp17	SRS1993003_vamb_1521
SRS1993002_vamb_2168	30	sp30	SRS1992960_vamb_507
SRS1993002_vamb_903	7	sp07	SRS1993002_vamb_903
SRS1993003_vamb_1055	24	sp24	SRS1993134_vamb_260
SRS1993003_vamb_1521	17	sp17	SRS1993003_vamb_1521
SRS1993003_vamb_1672	32	sp32	SRS1993000_vamb_1021
SRS1993003_vamb_2547	2	sp02	SRS1993108_vamb_3038
SRS1993003_vamb_72	77	sp77	SRS1993003_vamb_72
SRS1993004_vamb_110	35	sp35	SRS1993004_vamb_110
SRS1993004_vamb_139	15	sp15	SRS1992999_vamb_699
SRS1993004_vamb_186	20	sp20	SRS1993004_vamb_186
SRS1993004_vamb_191	31	sp31	SRS1992995_vamb_640
SRS1993004_vamb_2103	46	sp46	SRS1993004_vamb_2103
SRS1993004_vamb_437	7	sp07	SRS1993002_vamb_903
SRS1993004_vamb_442	78	sp78	SRS1993004_vamb_442
SRS1993004_vamb_575	79	sp79	SRS1993004_vamb_575
SRS1993004_vamb_577	12	sp12	SRS1993004_vamb_577
SRS1993004_vamb_683	34	sp34	SRS1993004_vamb_683
SRS1993006_vamb_1574	30	sp30	SRS1992960_vamb_507
SRS1993006_vamb_1877	7	sp07	SRS1993002_vamb_903
SRS1993006_vamb_1935	46	sp46	SRS1993004_vamb_2103
SRS1993006_vamb_1958	17	sp17	SRS1993003_vamb_1521
SRS1993006_vamb_2318	13	sp13	SRS1992999_vamb_2008
SRS1993006_vamb_699	15	sp15	SRS1992999_vamb_699
SRS1993006_vamb_70	80	sp80	SRS1993006_vamb_70
SRS1993006_vamb_8	38	sp38	SRS1992995_vamb_8
SRS1993058_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993058_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993058_vamb_132	43	sp43	SRS1993058_vamb_132
SRS1993058_vamb_139	15	sp15	SRS1992999_vamb_699
SRS1993058_vamb_3382	4	sp04	SRS1992958_vamb_477
SRS1993058_vamb_354	81	sp81	SRS1993058_vamb_354
SRS1993058_vamb_521	29	sp29	SRS1993058_vamb_521
SRS1993058_vamb_9477	17	sp17	SRS1993003_vamb_1521
SRS1993062_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993062_vamb_1410	27	sp27	SRS1993132_vamb_4798
SRS1993062_vamb_1756	37	sp37	SRS1993108_vamb_4375
SRS1993062_vamb_56	82	sp82	SRS1993062_vamb_56
SRS1993062_vamb_641	3	sp03	SRS1993062_vamb_641
SRS1993062_vamb_685	4	sp04	SRS1992958_vamb_477
SRS1993062_vamb_75	23	sp23	SRS1993150_vamb_75
SRS1993062_vamb_753	26	sp26	SRS1992988_vamb_733
SRS1993066_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993066_vamb_1365	2	sp02	SRS1993108_vamb_3038
SRS1993066_vamb_2132	17	sp17	SRS1993003_vamb_1521
SRS1993066_vamb_336	14	sp14	SRS1993150_vamb_241
SRS1993066_vamb_635	83	sp83	SRS1993066_vamb_635
SRS1993066_vamb_684	84	sp84	SRS1993066_vamb_684
SRS1993066_vamb_75	23	sp23	SRS1993150_vamb_75
SRS1993078_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993078_vamb_2083	4	sp04	SRS1992958_vamb_477
SRS1993078_vamb_751	85	sp85	SRS1993078_vamb_751
SRS1993092_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993092_vamb_1403	4	sp04	SRS1992958_vamb_477
SRS1993092_vamb_750	2	sp02	SRS1993108_vamb_3038
SRS1993092_vamb_932	40	sp40	SRS1992974_vamb_216
SRS1993106_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993106_vamb_125	11	sp11	SRS1993150_vamb_125
SRS1993106_vamb_1449	37	sp37	SRS1993108_vamb_4375
SRS1993106_vamb_1502	17	sp17	SRS1993003_vamb_1521
SRS1993106_vamb_1674	2	sp02	SRS1993108_vamb_3038
SRS1993106_vamb_199	48	sp48	SRS1993106_vamb_199
SRS1993106_vamb_388	33	sp33	SRS1993002_vamb_2112
SRS1993106_vamb_432	86	sp86	SRS1993106_vamb_432
SRS1993106_vamb_748	22	sp22	SRS1993140_vamb_743
SRS1993108_vamb_1543	19	sp19	SRS1993002_vamb_1543
SRS1993108_vamb_2264	17	sp17	SRS1993003_vamb_1521
SRS1993108_vamb_3038	2	sp02	SRS1993108_vamb_3038
SRS1993108_vamb_4375	37	sp37	SRS1993108_vamb_4375
SRS1993108_vamb_641	3	sp03	SRS1993062_vamb_641
SRS1993108_vamb_743	22	sp22	SRS1993140_vamb_743
SRS1993116_vamb_114	21	sp21	SRS1993092_vamb_114
SRS1993116_vamb_139	15	sp15	SRS1992999_vamb_699
SRS1993116_vamb_1479	2	sp02	SRS1993108_vamb_3038
SRS1993116_vamb_160	87	sp87	SRS1993116_vamb_160
SRS1993116_vamb_2112	33	sp33	SRS1993002_vamb_2112
SRS1993116_vamb_2633	4	sp04	SRS1992958_vamb_477
SRS1993122_vamb_1287	30	sp30	SRS1992960_vamb_507
SRS1993122_vamb_1441	2	sp02	SRS1993108_vamb_3038
SRS1993122_vamb_1448	4	sp04	SRS1992958_vamb_477
SRS1993122_vamb_641	3	sp03	SRS1993062_vamb_641
SRS1993132_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993132_vamb_1312	10	sp10	SRS1992978_vamb_1277
SRS1993132_vamb_1614	4	sp04	SRS1992958_vamb_477
SRS1993132_vamb_245	88	sp88	SRS1993132_vamb_245
SRS1993132_vamb_4798	27	sp27	SRS1993132_vamb_4798
SRS1993132_vamb_602	9	sp09	SRS1992958_vamb_2840
SRS1993132_vamb_701	40	sp40	SRS1992974_vamb_216
SRS1993134_vamb_126	18	sp18	SRS1993000_vamb_126
SRS1993134_vamb_1324	39	sp39	SRS1993001_vamb_200
SRS1993134_vamb_1802	89	sp89	SRS1993134_vamb_1802
SRS1993134_vamb_2281	7	sp07	SRS1993002_vamb_903
SRS1993134_vamb_260	24	sp24	SRS1993134_vamb_260
SRS1993134_vamb_267	28	sp28	SRS1993000_vamb_267
SRS1993134_vamb_274	90	sp90	SRS1993134_vamb_274
SRS1993134_vamb_278	91	sp91	SRS1993134_vamb_278
SRS1993134_vamb_343	47	sp47	SRS1993134_vamb_343
SRS1993134_vamb_644	92	sp92	SRS1993134_vamb_644
SRS1993134_vamb_681	31	sp31	SRS1992995_vamb_640
SRS1993134_vamb_743	22	sp22	SRS1993140_vamb_743
SRS1993140_vamb_1958	17	sp17	SRS1993003_vamb_1521
SRS1993140_vamb_270	2	sp02	SRS1993108_vamb_3038
SRS1993140_vamb_743	22	sp22	SRS1993140_vamb_743
SRS1993140_vamb_918	11	sp11	SRS1993150_vamb_125
SRS1993148_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993148_vamb_1329	2	sp02	SRS1993108_vamb_3038
SRS1993150_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993150_vamb_125	11	sp11	SRS1993150_vamb_125
SRS1993150_vamb_1329	2	sp02	SRS1993108_vamb_3038
SRS1993150_vamb_1448	4	sp04	SRS1992958_vamb_477
SRS1993150_vamb_1846	30	sp30	SRS1992960_vamb_507
SRS1993150_vamb_241	14	sp14	SRS1993150_vamb_241
SRS1993150_vamb_75	23	sp23	SRS1993150_vamb_75
SRS1993150_vamb_982	93	sp93	SRS1993150_vamb_982
SRS1993166_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993166_vamb_1846	30	sp30	SRS1992960_vamb_507
SRS1993166_vamb_598	2	sp02	SRS1993108_vamb_3038
SRS1993172_vamb_106	5	sp05	SRS1993150_vamb_106
SRS1993172_vamb_748	22	sp22	SRS1993140_vamb_743
