	Reads_raw_R2	Reads_raw_R1	BinGroup	Reads_QC_R1	Reads_QC_R2	Reads_QC_se
SRS1992990	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992990_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992990_R1.fastq.gz	SRS1992990	SRS1992990/sequence_quality_control/SRS1992990_QC_R1.fastq.gz	SRS1992990/sequence_quality_control/SRS1992990_QC_R2.fastq.gz	SRS1992990/sequence_quality_control/SRS1992990_QC_se.fastq.gz
SRS1992991	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992991_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992991_R1.fastq.gz	SRS1992991	SRS1992991/sequence_quality_control/SRS1992991_QC_R1.fastq.gz	SRS1992991/sequence_quality_control/SRS1992991_QC_R2.fastq.gz	SRS1992991/sequence_quality_control/SRS1992991_QC_se.fastq.gz
SRS1992992	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992992_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992992_R1.fastq.gz	SRS1992992	SRS1992992/sequence_quality_control/SRS1992992_QC_R1.fastq.gz	SRS1992992/sequence_quality_control/SRS1992992_QC_R2.fastq.gz	SRS1992992/sequence_quality_control/SRS1992992_QC_se.fastq.gz
SRS1992993	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992993_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992993_R1.fastq.gz	SRS1992993	SRS1992993/sequence_quality_control/SRS1992993_QC_R1.fastq.gz	SRS1992993/sequence_quality_control/SRS1992993_QC_R2.fastq.gz	SRS1992993/sequence_quality_control/SRS1992993_QC_se.fastq.gz
SRS1992994	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992994_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992994_R1.fastq.gz	SRS1992994	SRS1992994/sequence_quality_control/SRS1992994_QC_R1.fastq.gz	SRS1992994/sequence_quality_control/SRS1992994_QC_R2.fastq.gz	SRS1992994/sequence_quality_control/SRS1992994_QC_se.fastq.gz
SRS1992995	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992995_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992995_R1.fastq.gz	SRS1992995	SRS1992995/sequence_quality_control/SRS1992995_QC_R1.fastq.gz	SRS1992995/sequence_quality_control/SRS1992995_QC_R2.fastq.gz	SRS1992995/sequence_quality_control/SRS1992995_QC_se.fastq.gz
SRS1992998	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992998_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992998_R1.fastq.gz	SRS1992998	SRS1992998/sequence_quality_control/SRS1992998_QC_R1.fastq.gz	SRS1992998/sequence_quality_control/SRS1992998_QC_R2.fastq.gz	SRS1992998/sequence_quality_control/SRS1992998_QC_se.fastq.gz
SRS1992999	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992999_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992999_R1.fastq.gz	SRS1992999	SRS1992999/sequence_quality_control/SRS1992999_QC_R1.fastq.gz	SRS1992999/sequence_quality_control/SRS1992999_QC_R2.fastq.gz	SRS1992999/sequence_quality_control/SRS1992999_QC_se.fastq.gz
SRS1993000	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993000_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993000_R1.fastq.gz	SRS1993000	SRS1993000/sequence_quality_control/SRS1993000_QC_R1.fastq.gz	SRS1993000/sequence_quality_control/SRS1993000_QC_R2.fastq.gz	SRS1993000/sequence_quality_control/SRS1993000_QC_se.fastq.gz
SRS1993001	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993001_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993001_R1.fastq.gz	SRS1993001	SRS1993001/sequence_quality_control/SRS1993001_QC_R1.fastq.gz	SRS1993001/sequence_quality_control/SRS1993001_QC_R2.fastq.gz	SRS1993001/sequence_quality_control/SRS1993001_QC_se.fastq.gz
SRS1993002	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993002_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993002_R1.fastq.gz	SRS1993002	SRS1993002/sequence_quality_control/SRS1993002_QC_R1.fastq.gz	SRS1993002/sequence_quality_control/SRS1993002_QC_R2.fastq.gz	SRS1993002/sequence_quality_control/SRS1993002_QC_se.fastq.gz
SRS1993003	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993003_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993003_R1.fastq.gz	SRS1993003	SRS1993003/sequence_quality_control/SRS1993003_QC_R1.fastq.gz	SRS1993003/sequence_quality_control/SRS1993003_QC_R2.fastq.gz	SRS1993003/sequence_quality_control/SRS1993003_QC_se.fastq.gz
SRS1993004	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993004_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993004_R1.fastq.gz	SRS1993004	SRS1993004/sequence_quality_control/SRS1993004_QC_R1.fastq.gz	SRS1993004/sequence_quality_control/SRS1993004_QC_R2.fastq.gz	SRS1993004/sequence_quality_control/SRS1993004_QC_se.fastq.gz
SRS1993006	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993006_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993006_R1.fastq.gz	SRS1993006	SRS1993006/sequence_quality_control/SRS1993006_QC_R1.fastq.gz	SRS1993006/sequence_quality_control/SRS1993006_QC_R2.fastq.gz	SRS1993006/sequence_quality_control/SRS1993006_QC_se.fastq.gz
SRS1993058	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993058_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993058_R1.fastq.gz	SRS1993058	SRS1993058/sequence_quality_control/SRS1993058_QC_R1.fastq.gz	SRS1993058/sequence_quality_control/SRS1993058_QC_R2.fastq.gz	SRS1993058/sequence_quality_control/SRS1993058_QC_se.fastq.gz
SRS1993062	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993062_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993062_R1.fastq.gz	SRS1993062	SRS1993062/sequence_quality_control/SRS1993062_QC_R1.fastq.gz	SRS1993062/sequence_quality_control/SRS1993062_QC_R2.fastq.gz	SRS1993062/sequence_quality_control/SRS1993062_QC_se.fastq.gz
SRS1993066	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993066_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993066_R1.fastq.gz	SRS1993066	SRS1993066/sequence_quality_control/SRS1993066_QC_R1.fastq.gz	SRS1993066/sequence_quality_control/SRS1993066_QC_R2.fastq.gz	SRS1993066/sequence_quality_control/SRS1993066_QC_se.fastq.gz
SRS1993078	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993078_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993078_R1.fastq.gz	SRS1993078	SRS1993078/sequence_quality_control/SRS1993078_QC_R1.fastq.gz	SRS1993078/sequence_quality_control/SRS1993078_QC_R2.fastq.gz	SRS1993078/sequence_quality_control/SRS1993078_QC_se.fastq.gz
SRS1993092	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993092_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993092_R1.fastq.gz	SRS1993092	SRS1993092/sequence_quality_control/SRS1993092_QC_R1.fastq.gz	SRS1993092/sequence_quality_control/SRS1993092_QC_R2.fastq.gz	SRS1993092/sequence_quality_control/SRS1993092_QC_se.fastq.gz
SRS1993106	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993106_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993106_R1.fastq.gz	SRS1993106	SRS1993106/sequence_quality_control/SRS1993106_QC_R1.fastq.gz	SRS1993106/sequence_quality_control/SRS1993106_QC_R2.fastq.gz	SRS1993106/sequence_quality_control/SRS1993106_QC_se.fastq.gz
SRS1993108	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993108_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993108_R1.fastq.gz	SRS1993108	SRS1993108/sequence_quality_control/SRS1993108_QC_R1.fastq.gz	SRS1993108/sequence_quality_control/SRS1993108_QC_R2.fastq.gz	SRS1993108/sequence_quality_control/SRS1993108_QC_se.fastq.gz
SRS1993116	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993116_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993116_R1.fastq.gz	SRS1993116	SRS1993116/sequence_quality_control/SRS1993116_QC_R1.fastq.gz	SRS1993116/sequence_quality_control/SRS1993116_QC_R2.fastq.gz	SRS1993116/sequence_quality_control/SRS1993116_QC_se.fastq.gz
SRS1993122	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993122_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993122_R1.fastq.gz	SRS1993122	SRS1993122/sequence_quality_control/SRS1993122_QC_R1.fastq.gz	SRS1993122/sequence_quality_control/SRS1993122_QC_R2.fastq.gz	SRS1993122/sequence_quality_control/SRS1993122_QC_se.fastq.gz
SRS1993132	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993132_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993132_R1.fastq.gz	SRS1993132	SRS1993132/sequence_quality_control/SRS1993132_QC_R1.fastq.gz	SRS1993132/sequence_quality_control/SRS1993132_QC_R2.fastq.gz	SRS1993132/sequence_quality_control/SRS1993132_QC_se.fastq.gz
SRS1993134	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993134_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993134_R1.fastq.gz	SRS1993134	SRS1993134/sequence_quality_control/SRS1993134_QC_R1.fastq.gz	SRS1993134/sequence_quality_control/SRS1993134_QC_R2.fastq.gz	SRS1993134/sequence_quality_control/SRS1993134_QC_se.fastq.gz
SRS1993140	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993140_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993140_R1.fastq.gz	SRS1993140	SRS1993140/sequence_quality_control/SRS1993140_QC_R1.fastq.gz	SRS1993140/sequence_quality_control/SRS1993140_QC_R2.fastq.gz	SRS1993140/sequence_quality_control/SRS1993140_QC_se.fastq.gz
SRS1993148	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993148_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993148_R1.fastq.gz	SRS1993148	SRS1993148/sequence_quality_control/SRS1993148_QC_R1.fastq.gz	SRS1993148/sequence_quality_control/SRS1993148_QC_R2.fastq.gz	SRS1993148/sequence_quality_control/SRS1993148_QC_se.fastq.gz
SRS1993150	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993150_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993150_R1.fastq.gz	SRS1993150	SRS1993150/sequence_quality_control/SRS1993150_QC_R1.fastq.gz	SRS1993150/sequence_quality_control/SRS1993150_QC_R2.fastq.gz	SRS1993150/sequence_quality_control/SRS1993150_QC_se.fastq.gz
SRS1993166	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993166_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993166_R1.fastq.gz	SRS1993166	SRS1993166/sequence_quality_control/SRS1993166_QC_R1.fastq.gz	SRS1993166/sequence_quality_control/SRS1993166_QC_R2.fastq.gz	SRS1993166/sequence_quality_control/SRS1993166_QC_se.fastq.gz
SRS1993172	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993172_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1993172_R1.fastq.gz	SRS1993172	SRS1993172/sequence_quality_control/SRS1993172_QC_R1.fastq.gz	SRS1993172/sequence_quality_control/SRS1993172_QC_R2.fastq.gz	SRS1993172/sequence_quality_control/SRS1993172_QC_se.fastq.gz
