Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
ERR675518_metabat_23_sub	17.4	0.0	0.0	3	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	42.000074641	0.72531	678	0.901025768292	ERR675518
ERR675518_metabat_24	72.48	1.71	0.0	41	0	UID2142	k__Bacteria	p__Cyanobacteria	34.4075661188	1.2490450000000002	1375	0.905292443427	ERR675518
ERR675518_metabat_25_sub	64.31	1.23	42.86	31	4	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	40.6922523579	2.353732	2595	0.90060083306	ERR675518
ERR675518_metabat_26_sub	34.98	0.0	0.0	4	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.4534870762	1.125029	1137	0.91480219621	ERR675518
ERR675518_metabat_28	49.86	0.63	0.0	28	0	UID4183	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	g__Parasutterella;s__Parasutterella_excrementihominis	50.2663178834	0.81715	966	0.9000085663590001	ERR675518
ERR675518_metabat_29_sub	29.61	0.32	0.0	15	0	UID1254	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	34.5864195184	1.5040879999999999	1656	0.8739468701299999	ERR675518
ERR675518_metabat_31	19.83	0.0	0.0	1	0	UID2635	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	s__Porphyromonas_gingivalis	53.4012004706	0.504512	535	0.910127013827	ERR675518
ERR675518_metabat_33	72.12	0.86	0.0	36	0	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	32.9933214165	1.129561	1162	0.9239465597700002	ERR675518
ERR675518_metabat_34_sub	14.66	0.0	0.0	1	0	UID2625	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	s__Dysgonomonas_capnocytophagoides	49.598916678900004	0.41874700000000004	465	0.9074787401459999	ERR675518
ERR675518_metabat_36_sub	0.0	0.0	0.0	0	0			unresolved	43.2973255925	0.126656	157	0.8334859777670001	ERR675518
ERR675519_maxbin_01_sub	0.0	0.0	0.0	0	0			unresolved	47.2508453593	0.475149	552	0.869445163517	ERR675519
ERR675519_maxbin_02	97.17	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.9102060418	2.236895	2158	0.869435981573	ERR675519
ERR675519_maxbin_03_sub	0.0	0.0	0.0	0	0			unresolved	42.8931757241	0.433759	469	0.83734977257	ERR675519
ERR675519_maxbin_04	97.83	0.0	0.0	43	0	UID472	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_2;g__Lactobacillus_2;s__Lactobacillus_reuteri	f__Lactobacillaceae;g__Lactobacillus	38.652894857	1.991568	1909	0.890164433251	ERR675519
ERR675519_maxbin_05_sub	13.51	0.0	0.0	1	0	UID1287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__;s__	50.9680969946	1.134185	1324	0.8766188937430001	ERR675519
ERR675519_maxbin_06	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.3329027455	2.923557	2523	0.887619772763	ERR675519
ERR675519_maxbin_07_sub	77.65	38.61	32.94	21	8	UID1287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__;s__	50.4057943733	4.274463	4342	0.894601731258	ERR675519
ERR675519_maxbin_08	98.19	2.29	0.0	43	0	UID398	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	unresolved	34.3012692876	1.928433	1839	0.885585343126	ERR675519
ERR675519_maxbin_11_sub	1.75	0.0	0.0	1	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	47.8974182659	0.321266	385	0.8993233021860001	ERR675519
ERR675519_maxbin_12_sub	95.0	0.48	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.886023852	2.489122	2070	0.9095327589409999	ERR675519
ERR675519_maxbin_13_sub	20.28	4.24	18.75	15	3	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	58.771962637899996	2.223887	2371	0.892507577948	ERR675519
ERR675519_maxbin_14_sub	40.61	11.71	15.69	29	10	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	60.1511610606	1.127491	1302	0.8693843232449999	ERR675519
ERR675519_maxbin_15_sub	1.75	0.0	0.0	1	0	UID1338	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	s__Roseburia_hominis	43.3586797261	0.489353	511	0.857266635741	ERR675519
ERR675519_maxbin_16_sub	43.32	0.88	0.0	4	0	UID1295	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	56.861017607200004	2.27395	2633	0.887901229139	ERR675519
ERR675519_maxbin_17_sub	24.72	1.75	100.0	6	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	52.0681154385	2.3109349999999997	2899	0.8518266415970001	ERR675519
ERR675519_maxbin_18_sub	8.79	0.03	0.0	26	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	50.8977081752	0.9697290000000001	1191	0.880812061927	ERR675519
ERR675519_maxbin_19_sub	1.92	0.19	11.11	17	8	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.3167652909	0.080084	96	0.834074222067	ERR675519
ERR675519_maxbin_20_sub	54.62	18.97	7.14	6	0	UID1229	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__;g__;s__	64.00785819149999	2.002792	2335	0.8890184302709999	ERR675519
ERR675519_maxbin_21_sub	19.71	6.58	0.0	14	0	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	44.6680672953	3.203114	3600	0.8868213869380001	ERR675519
ERR675519_maxbin_24_sub	11.08	0.0	0.0	9	0	UID2378	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae	p__Firmicutes;c__Erysipelotrichi;g__Coprobacillus;s__	30.994856994499997	0.456196	507	0.890775017756	ERR675519
ERR675519_maxbin_25_sub	9.15	0.0	0.0	15	0	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	37.3078505065	0.49740100000000004	513	0.888777867355	ERR675519
ERR675519_metabat_02	99.19	0.0	0.0	42	0	UID2130	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	g__Olsenella;s__Atopobium_vaginae	58.78702229979999	1.984464	1637	0.8594789323459999	ERR675519
ERR675519_metabat_03	99.26	1.12	0.0	43	0	UID2784	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_massiliensis	42.9126363218	4.230844	3608	0.9006623737489999	ERR675519
ERR675519_metabat_04	95.98	1.26	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	51.6392567336	3.765774	3278	0.892429551003	ERR675519
ERR675519_metabat_05	98.92	0.0	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.6210985077	2.871664	2424	0.910690805052	ERR675519
ERR675519_metabat_06	94.94	1.27	0.0	43	0	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	48.254455772	3.595961	3383	0.8762664556149999	ERR675519
ERR675519_metabat_09_sub	94.88	0.57	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.120784571099996	3.6002080000000003	3444	0.8885428286370001	ERR675519
ERR675519_metabat_10	96.68	1.18	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.7761321146	2.024844	1828	0.8993794089820001	ERR675519
ERR675519_metabat_11	95.45	0.38	0.0	30	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	49.85786372020001	2.458192	2251	0.9098874294600001	ERR675519
ERR675519_metabat_12_sub	7.02	0.0	0.0	4	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	40.4615613746	4.125198	4847	0.861403743529	ERR675519
ERR675519_metabat_16_sub	6.41	0.0	0.0	5	0	UID1287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__;s__	48.9331982418	1.490723	1490	0.897439027908	ERR675519
ERR675519_metabat_17	87.26	0.87	55.56	36	3	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	46.2393378534	2.3875290000000002	2217	0.9157865726450001	ERR675519
ERR675519_metabat_18_sub	37.8	5.87	0.0	11	2	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	60.877999634700004	1.2030299999999998	1404	0.872920043557	ERR675519
ERR675519_metabat_20	91.78	0.56	0.0	43	0	UID1234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_leptum	38.9137941571	1.6553080000000002	1675	0.9188912274940001	ERR675519
ERR675519_metabat_21_sub	9.48	0.0	0.0	2	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	61.0129101172	0.37081	488	0.887284593188	ERR675519
ERR675519_metabat_23_sub	2.11	0.0	0.0	1	0	UID3195	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	g__Thermodesulfovibrio	48.742852391499994	0.31299699999999997	340	0.7992952009119999	ERR675519
ERR675519_metabat_24_sub	87.51	3.36	30.77	37	3	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	50.6220989809	3.458758	3144	0.8786145200100001	ERR675519
ERR675519_metabat_25_sub	73.56	4.79	6.25	31	1	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	44.6478748917	3.3504169999999998	3509	0.882293457799	ERR675519
ERR675519_metabat_29_sub	0.0	0.0	0.0	0	0			unresolved	54.7559940317	0.311679	374	0.8935988629330001	ERR675519
ERR675519_metabat_30_sub	82.08	9.75	0.0	41	0	UID2379	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_spiroforme	30.1635635244	2.241586	2256	0.886686033906	ERR675519
ERR675519_metabat_31	70.33	0.0	0.0	39	0	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	59.918558491899994	1.8115259999999997	2042	0.8680548885299999	ERR675519
ERR675519_metabat_32_sub	8.33	0.0	0.0	0	0			unresolved	50.639963941800005	1.306446	1547	0.8734850120100001	ERR675519
ERR675519_metabat_33	40.2	0.0	0.0	40	0	UID1202	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium	unresolved	30.8391175775	0.619375	606	0.925967305752	ERR675519
ERR675519_metabat_36_sub	4.17	0.0	0.0	0	0			unresolved	41.8978851533	0.788387	795	0.897280142874	ERR675519
ERR675519_metabat_37_sub	4.17	0.0	0.0	0	0			unresolved	55.9297067608	0.42025100000000004	556	0.8734589566709999	ERR675519
ERR675519_metabat_39_sub	0.0	0.0	0.0	0	0			unresolved	52.9305532753	0.018294	25	0.773750956598	ERR675519
ERR675519_metabat_40_sub	8.37	0.0	0.0	5	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	49.271109278100006	0.19005999999999998	212	0.914763758813	ERR675519
ERR675520_maxbin_02	92.08	0.38	0.0	31	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	50.1162793129	2.391541	2114	0.9103293650409999	ERR675520
ERR675520_maxbin_04	97.96	2.04	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.6505693165	2.8073200000000003	2394	0.885199763475	ERR675520
ERR675520_maxbin_05	93.4	0.38	0.0	31	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.0553524908	2.415411	1929	0.8950182805329999	ERR675520
ERR675520_maxbin_06_sub	7.34	1.41	0.0	6	7	UID2790	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	37.287842894099995	0.45168	540	0.873235476443	ERR675520
ERR675520_maxbin_07_sub	3.45	0.0	0.0	1	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	49.7765847533	0.301092	346	0.875805401671	ERR675520
ERR675520_maxbin_10_sub	10.99	1.68	0.0	13	0	UID1250	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Lachnospiraceae_2;g__Lachnospira;s__Lachnospira_multipara	36.5884922587	1.712854	2070	0.870485166862	ERR675520
ERR675520_maxbin_11_sub	75.7	6.54	0.0	24	0	UID1227	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	39.429333223200004	1.506426	1524	0.924541929043	ERR675520
ERR675520_maxbin_13	86.81	0.0	0.0	43	0	UID3809	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	unresolved	51.2864877234	0.926744	934	0.88180338907	ERR675520
ERR675520_maxbin_14_sub	32.29	7.91	0.0	14	5	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	53.1883603045	2.194513	2461	0.915900703254	ERR675520
ERR675520_maxbin_15_sub	52.97	1.75	0.0	5	0	UID1214	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	unresolved	35.1869694842	1.082953	1051	0.903739128106	ERR675520
ERR675520_maxbin_21	96.23	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	55.004410097	2.238812	2202	0.8671889377040001	ERR675520
ERR675520_maxbin_22_sub	96.15	1.18	0.0	24	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.999808762	1.9670619999999999	1782	0.903921177878	ERR675520
ERR675520_metabat_02	98.47	0.37	0.0	42	0	UID2675	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_intestinalis	42.6621027984	5.799248	4576	0.909150117395	ERR675520
ERR675520_metabat_03_sub	4.17	0.0	0.0	0	0			unresolved	55.221555953599996	0.038523	27	0.941852919035	ERR675520
ERR675520_metabat_05	97.42	1.13	25.0	10	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.8616035996	4.903127	4068	0.901047433607	ERR675520
ERR675520_metabat_07	98.48	0.67	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.2757347733	3.7005449999999995	3473	0.8844302663529999	ERR675520
ERR675520_metabat_08_sub	4.17	0.0	0.0	0	0			unresolved	46.8691394337	0.175441	177	0.860437412007	ERR675520
ERR675520_metabat_09	4.17	0.0	0.0	0	0			unresolved	44.213331663599995	0.255527	241	0.901622920474	ERR675520
ERR675520_metabat_10	89.21	0.38	0.0	39	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	50.5729786567	2.199255	1913	0.916824106345	ERR675520
ERR675520_metabat_11	94.26	0.5	0.0	32	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.2466538399	2.994455	2465	0.9037664616769999	ERR675520
ERR675520_metabat_12_sub	0.0	0.0	0.0	0	0			unresolved	44.0879272566	0.29847399999999996	291	0.899331265035	ERR675520
